"indicator","Accumulated Cyclone Energy (ACE) index"
"unit","10^4 kt^2"
"extent","Gulf of America"
"1961","44.645"
"1962","0.525"
"1963","5.1375"
"1964","38.27"
"1965","14.3025"
"1966","39.23"
"1967","28.34"
"1968","19.14"
"1969","34.4553"
"1970","24.81"
"1971","25.825"
"1972","6.865"
"1973","12.165"
"1974","28.265"
"1975","17.7675"
"1976","2.1325"
"1977","17.5225"
"1978","5.72"
"1979","33.65"
"1980","45.4975"
"1981","8.3525"
"1982","4.2525"
"1983","9.4575"
"1984","8.0825"
"1985","41.83"
"1986","4.5025"
"1987","5.185"
"1988","34.9975"
"1989","11.7525"
"1990","6.4"
"1991","1.385"
"1992","14.9725"
"1993","4.9775"
"1994","7.64"
"1995","39.83"
"1996","12.3875"
"1997","5.19"
"1998","30.58"
"1999","23.45"
"2000","20.1325"
"2001","24.9025"
"2002","36.08"
"2003","17.3775"
"2004","52.285"
"2005","112.3975"
"2006","4.8725"
"2007","19.525"
"2008","48.665"
"2009","6.9675"
"2010","25.635"
"2011","19.0725"
"2012","16.2325"
"2013","11.7325"
"2014","3.475"
"2015","1.245"
"2016","15.4925"
"2017","35.4325"
"2018","15.64"
"2019","10.9575"
"2020","67.005"
"2021","26.615"
"2022","20.645"
"2023","8.54"
"2024","60.5775"
"2025","0.7725"
