"indicator","Cobia SEDAR28U Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","11.8426013464"
"2001","11.8523237206"
"2002","11.0086376928"
"2003","10.900302666"
"2004","10.2193396404"
"2005","10.2818406174"
"2006","11.7444296178"
"2007","11.9965720072"
"2008","11.6038850928"
"2009","12.6209644836"
"2010","14.1486118202"
"2011","14.148479543"
"2012","12.957543819"
"2013","12.7819899284"
"2014","12.8829394782"
"2015","11.9754517476"
"2016","11.5296334912"
"2017","10.651180606"
"2018","11.2450611416"
