"indicator","Cobia_SEDAR28U_Commercial_Catch","Cobia_SEDAR28U_Commercial_Catch","Cobia_SEDAR28U_Commercial_Catch","Cobia_SEDAR28U_Commercial_Catch","Cobia_SEDAR28U_Commercial_Catch"
"unit","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio","bycatch_discards"
"2000","212.10979713","212.80755936","0.697762230000023","303.985781990511","72.007959826"
"2001","177.734480242","178.328184408","0.593704166000009","299.365391756401","73.663849908"
"2002","183.678135762","184.31394817","0.635812407999993","288.887309292653","47.057172976"
"2003","194.934484558","195.556628322","0.622143764000015","313.327072997866","52.213999618"
"2004","179.44945414","180.058590646","0.60913650599997","294.596453130669","43.46298099"
"2005","137.001039274","137.544478104","0.543438830000014","252.10020283975","24.200554664"
"2006","151.596725984","152.155597154","0.558871170000003","271.255226824456","29.805580552"
"2007","147.38325624","147.883484518","0.50022827799998","294.631996474229","32.443628844"
"2008","140.073397706","140.551800246","0.478402540000019","292.794009216578","33.770148698"
"2009","137.809032504","138.303308308","0.494275804000011","278.809991079387","27.813706382"
"2010","195.22020331","195.83088305","0.610679739999995","319.676895306862","28.115077936"
"2011","240.31239848","241.07078776","0.758389279999989","316.872093023261","15.7709916782"
"2012","139.653197134","140.093018824","0.439821690000002","317.522305764409","30.340200902"
"2013","151.331951122","151.760970174","0.429019052000001","352.7394655704","20.241498068"
"2014","164.352436842","164.863908682","0.511471840000013","321.332327586199","25.31675377"
"2015","132.310048838","132.721871854","0.411823016000028","321.27890792289","15.5334438732"
"2016","123.768689572","124.12671986","0.358030287999995","345.6933497537","22.402025668"
"2017","113.846356338","114.19049752","0.344141182000016","330.812940422791","24.779487876"
"2018","73.254451974","73.508424198","0.253972224000009","288.434895833323","24.615023224"
