"indicator","Cobia_SEDAR28U_Recreational_Catch","Cobia_SEDAR28U_Recreational_Catch","Cobia_SEDAR28U_Recreational_Catch","Cobia_SEDAR28U_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","143.395","152.316","8.92099999999999","16.0738706423047"
"2001","185.402","196.664","11.262","16.462617652282"
"2002","140.785","149.715","8.93000000000001","15.7653975363942"
"2003","160.848","169.458","8.60999999999999","18.6815331010453"
"2004","149.131","159.743","10.612","14.0530531473803"
"2005","110.947","119.104","8.157","13.6014466102734"
"2006","158.684","168.783","10.099","15.7128428557283"
"2007","179.481","190.196","10.715","16.7504433037797"
"2008","133.286","141.986","8.69999999999999","15.3202298850575"
"2009","108.849","116.251","7.402","14.705349905431"
"2010","167.03","175.545","8.51499999999999","19.6159718144451"
"2011","200.965","214.032","13.067","15.3795821535165"
"2012","150.278","157.646","7.36799999999999","20.3960369163952"
"2013","130.657","138.198","7.541","17.3262166821377"
"2014","175.288","185.398","10.11","17.3380811078141"
"2015","142.921","150.904","7.983","17.9031692346236"
"2016","155.282","163.179","7.89699999999999","19.6634164872737"
"2017","108.081","114.803","6.72199999999999","16.0786968164237"
"2018","160.029","170.935","10.906","14.6734824867046"
