"indicator","Coral","Macroalgae","Sponge","Colonizable Substrate","CCA","Sand","Hydrocoral"
"unit","% area","% area","% area","% area","% area","% area","% area"
"extent","East Flower Garden Banks","East Flower Garden Banks","East Flower Garden Banks","East Flower Garden Banks","East Flower Garden Banks","East Flower Garden Banks","East Flower Garden Banks"
"1991","46",NA,NA,NA,NA,NA,NA
"1992","53.31771469","17.67","1.9","21.9","2.8","0.49","1.802285313"
"1993",NA,NA,NA,NA,NA,NA,NA
"1994","54.3425965","17.66","1.76","17.05","6.23","0.49","2.427403496"
"1995","66.78905652","11.14","1.4","15.99","2.49","0.17","2.000943482"
"1996","47.75667666","19.68","1.19","24.23","5.09","0.8","1.16332334"
"1997","45.96527222","14.79","2.07","30.35","4.94","0.65","1.194727783"
"1998","50.10546172","29.64","1.35","8.87","5.87","2.76","1.25453828"
"1999","55.4810861","30.14","0.95","9.14","1.92","0.45","1.758913901"
"2000","62.08608158","21.64","0.71","9.47","4.22","0.19","1.453918423"
"2001","60.5946452","19.98","1.26","13.78","2.95","0.24","1.115354799"
"2002","61.78714999","7.935854579","0.82119748","21.25782713","5.151554267","1.953791622","0.963314449"
"2003","51.25861905","19.59017443","1.503338991","17.07021814","6.528127806","0.837341718","3.084270052"
"2004","63.08","12.03","0.31","20.79","0.1","0.13","1.05"
"2005","47.87","34.03","0.48","8.68","3.28","0.51","1.68"
"2006","51.61","21.1","0.83","20.32","2.83","0.33","0.65"
"2007","51.12","21.73","0.56","23.3","1.13","0.74","0.81"
"2008","56.09","24.06","0.4","13.35","4.29","0.31","0.28"
"2009","51.79111928","35.47713647","0.458096358","8.444687297","3.190663027","0.273353398","0.143799176"
"2010","52.58226546","32.49429617","0.324896202","11.61244202","2.554959249","0.133148967","0.120949122"
"2011","57.37656852","30.10413904","0.49","9.640933869","1.89","0.12","0.113431477"
"2012","52.35186402","37.58900783","0.62","7.376254695","1.25","0.41","0.138135982"
"2013","59.97500948","29.75","0.32","7.02","0.92","1.48","0.184990515"
"2014","59.08103548","29.65","0.28","8.09","1.46","0.77","0.078964518"
"2015","54.40605201","35.53686082","0.335584092","6.079368855","2.87","0.24","0.201455174"
"2016","49.71979128","37.14939377","0.538781267","7.90562305","3.26","0.86","0.197939443"
"2017","51.4215661","26.75","2.23","13.92","4.51","0.78","0.038433896"
"2018","52.23700394","34.59576208","0.930854999","7.412875791","3.34","0.95","0.131047315"
"2019","54.18136742","33.28","0.85","4.052804152","6.167195848","0.704377949","0.368632575"
"2020",NA,NA,NA,NA,NA,NA,NA
"2021",NA,NA,NA,NA,NA,NA,NA
"2022","53.38740708","29.3798546","1.153235502","11.32","3.589525609","0.770286931","0.133004963"
"2023","54.57218835","30.94011248","0.792634761","10.3","2.915793581","0.209945876","0.141402715"
"2024","50.41985733","24.20877662","1.353851517","18.70424671","4.757627664","0.132988549","0.105638176"
"2025","48.19005488","33.39104985","1.076928415","11.66724251","4.501978184","0.270350691","0.012729124"
