"indicator","Coral","Macroalgae","Sponge","Colonizable Substrate","CCA","Sand","Hydrocoral"
"unit","% area","% area","% area","% area","% area","% area","% area"
"extent","West Flower Garden Banks","West Flower Garden Banks","West Flower Garden Banks","West Flower Garden Banks","West Flower Garden Banks","West Flower Garden Banks","West Flower Garden Banks"
"1991","46.5",NA,NA,NA,NA,NA,NA
"1992","53.00583513","13.15","2.28","25.36","3.5","1.53","1.044164875"
"1993",NA,NA,NA,NA,NA,NA,NA
"1994","50.65243152","10.47","3.05","27.73","6.09","0.03","1.957568477"
"1995","53.10074872","16.45","0.92","21.93","5.93","0.01","1.619251276"
"1996","48.68545194","19.99","2.37","19.37","8.89","0.01","0.654548057"
"1997","44.67423101","16.52","1.95","27.45","7.26","0.9","1.235768993"
"1998","47.22303773","30.39","1.87","9.6","10.11","0.29","0.426962274"
"1999","55.99914821","19.14","1.52","15.16","7.49","0.13","0.490851786"
"2000","60.18095303","9.44","1.19","22.98","4.65","0.48","0.979046967"
"2001","54.51428005","17.98","1.13","21.36","3.33","0.54","1.035719954"
"2002","54.53179918","12.65668284","1.054065413","25.91555956","2.046275477","1.091243927","2.608345857"
"2003","55.84698125","11.69274772","1.731455685","24.7542784","2.988273751","0.94696746","1.890886743"
"2004","59.36","14.75","0.4","17.5","3.35","1.66","1.05"
"2005","52.73","18.35","0.25","15.31","2.96","0.75","1.68"
"2006","57.63","12.38","0.46","22.06","3.58","0.66","0.65"
"2007","55.77","17.64","0.35","21.77","2.5","0.61","0.81"
"2008","58.99","12.06","1","22.42","4.32","0.06","0.28"
"2009","52.43682207","29.61181582","0.184290062","16.35689207","0.94748742","0.153472086","0.270046152"
"2010","62.03755088","24.95785673","0.200669249","11.1379925","0.448817748","0.379635711","0.745007083"
"2011","59.30267324","29.10668755","0.31","9.103248303","1.3","0.44","0.207326757"
"2012","54.63139502","31.42531629","0.68","9.562919253","2.71","0.53","0.148604984"
"2013","58.77393412","27.71","0.65","10.43","0.4","1.35","0.326065881"
"2014","59.88819234","26.14","1.53","7.85","2.2","1.21","0.771807665"
"2015","57.38484584","31.60183946","0.666036668","6.527966146","2.56","0.63","0.316851021"
"2016","57.64057977","25.69240114","0.739242251","10.82684456","3.22","0.68","0.897518018"
"2017","55.77302665","22.64","1.02","16.07","2.2","1.51","0.586973355"
"2018","55.20228924","27.17736009","1.290508948","12.22167421","2.32","1.03","0.474082292"
"2019","59.96172277","21.11","1.36","12.01842514","3.821574862","0.946767248","0.268277235"
"2020",NA,NA,NA,NA,NA,NA,NA
"2021",NA,NA,NA,NA,NA,NA,NA
"2022","56.30812961","27.29761709","0.723504738","11.66","2.62","0.821976761","0.366802057"
"2023","53.93358408","28.91525692","1.481570282","10.91","3.366719818","0.365663363","0.748935818"
"2024","62.13597233","16.89864657","1.330132342","14.98099806","3.100360659","0.877796482","0.375048982"
"2025","60.46348099","12.9001107","1.319324914","21.20104905","2.35587464","0.877796482","0.038877219"
