"indicator","El Niño–Southern Oscillation"
"unit","Relative Oceanic Niño Index"
"extent","Gulf of America"
"Dec-1949","-1.58"
"Jan-1950","-1.58"
"Feb-1950","-1.26"
"Mar-1950","-0.96"
"Apr-1950","-1.10"
"May-1950","-1.20"
"Jun-1950","-0.68"
"Jul-1950","-0.26"
"Aug-1950","-0.29"
"Sep-1950","-0.16"
"Oct-1950","-0.21"
"Nov-1950","-0.49"
"Dec-1950","-0.52"
"Jan-1951","-0.66"
"Feb-1951","-0.32"
"Mar-1951"," 0.46"
"Apr-1951"," 0.61"
"May-1951"," 0.72"
"Jun-1951"," 0.60"
"Jul-1951"," 0.75"
"Aug-1951"," 0.70"
"Sep-1951"," 0.99"
"Oct-1951"," 0.92"
"Nov-1951"," 1.03"
"Dec-1951"," 0.77"
"Jan-1952"," 0.59"
"Feb-1952"," 0.39"
"Mar-1952"," 0.35"
"Apr-1952"," 0.53"
"May-1952"," 0.43"
"Jun-1952","-0.02"
"Jul-1952","-0.19"
"Aug-1952"," 0.08"
"Sep-1952"," 0.21"
"Oct-1952"," 0.09"
"Nov-1952","-0.26"
"Dec-1952"," 0.13"
"Jan-1953"," 0.73"
"Feb-1953"," 0.72"
"Mar-1953"," 0.84"
"Apr-1953"," 0.75"
"May-1953"," 0.89"
"Jun-1953"," 0.89"
"Jul-1953"," 0.58"
"Aug-1953"," 0.52"
"Sep-1953"," 0.87"
"Oct-1953"," 0.71"
"Nov-1953"," 0.73"
"Dec-1953"," 0.99"
"Jan-1954"," 1.08"
"Feb-1954"," 0.89"
"Mar-1954"," 0.21"
"Apr-1954","-0.68"
"May-1954","-0.11"
"Jun-1954","-0.22"
"Jul-1954","-0.44"
"Aug-1954","-0.81"
"Sep-1954","-0.96"
"Oct-1954","-0.78"
"Nov-1954","-0.38"
"Dec-1954","-0.54"
"Jan-1955","-0.32"
"Feb-1955","-0.28"
"Mar-1955","-0.36"
"Apr-1955","-0.40"
"May-1955","-0.41"
"Jun-1955","-0.29"
"Jul-1955","-0.40"
"Aug-1955","-0.64"
"Sep-1955","-0.79"
"Oct-1955","-1.64"
"Nov-1955","-1.86"
"Dec-1955","-1.40"
"Jan-1956","-0.55"
"Feb-1956","-0.29"
"Mar-1956","-0.10"
"Apr-1956","-0.19"
"May-1956"," 0.12"
"Jun-1956","-0.08"
"Jul-1956","-0.29"
"Aug-1956","-0.47"
"Sep-1956","-0.22"
"Oct-1956","-0.24"
"Nov-1956","-0.53"
"Dec-1956","-0.33"
"Jan-1957"," 0.11"
"Feb-1957"," 0.36"
"Mar-1957"," 0.76"
"Apr-1957"," 1.07"
"May-1957"," 1.09"
"Jun-1957"," 1.13"
"Jul-1957"," 1.32"
"Aug-1957"," 1.23"
"Sep-1957"," 1.22"
"Oct-1957"," 1.23"
"Nov-1957"," 1.46"
"Dec-1957"," 1.85"
"Jan-1958"," 2.31"
"Feb-1958"," 1.90"
"Mar-1958"," 1.43"
"Apr-1958"," 0.88"
"May-1958"," 0.90"
"Jun-1958"," 0.72"
"Jul-1958"," 0.41"
"Aug-1958"," 0.35"
"Sep-1958"," 0.03"
"Oct-1958"," 0.15"
"Nov-1958"," 0.56"
"Dec-1958"," 0.45"
"Jan-1959"," 1.01"
"Feb-1959"," 0.85"
"Mar-1959"," 0.65"
"Apr-1959"," 0.49"
"May-1959"," 0.17"
"Jun-1959"," 0.08"
"Jul-1959","-0.45"
"Aug-1959","-0.34"
"Sep-1959","-0.43"
"Oct-1959","-0.09"
"Nov-1959","-0.26"
"Dec-1959"," 0.03"
"Jan-1960"," 0.17"
"Feb-1960","-0.09"
"Mar-1960"," 0.03"
"Apr-1960"," 0.07"
"May-1960"," 0.13"
"Jun-1960","-0.01"
"Jul-1960"," 0.00"
"Aug-1960"," 0.33"
"Sep-1960"," 0.17"
"Oct-1960"," 0.01"
"Nov-1960"," 0.02"
"Dec-1960","-0.01"
"Jan-1961"," 0.04"
"Feb-1961"," 0.11"
"Mar-1961"," 0.04"
"Apr-1961","-0.06"
"May-1961"," 0.32"
"Jun-1961"," 0.50"
"Jul-1961"," 0.20"
"Aug-1961","-0.11"
"Sep-1961","-0.37"
"Oct-1961","-0.48"
"Nov-1961","-0.08"
"Dec-1961","-0.15"
"Jan-1962","-0.14"
"Feb-1962","-0.11"
"Mar-1962","-0.02"
"Apr-1962","-0.22"
"May-1962","-0.42"
"Jun-1962","-0.14"
"Jul-1962","-0.08"
"Aug-1962","-0.11"
"Sep-1962","-0.35"
"Oct-1962","-0.30"
"Nov-1962","-0.56"
"Dec-1962","-0.51"
"Jan-1963","-0.42"
"Feb-1963","-0.20"
"Mar-1963"," 0.32"
"Apr-1963"," 0.38"
"May-1963"," 0.00"
"Jun-1963"," 0.31"
"Jul-1963"," 0.92"
"Aug-1963"," 0.97"
"Sep-1963"," 1.09"
"Oct-1963"," 1.08"
"Nov-1963"," 1.13"
"Dec-1963"," 1.46"
"Jan-1964"," 1.17"
"Feb-1964"," 0.76"
"Mar-1964"," 0.12"
"Apr-1964","-0.57"
"May-1964","-0.65"
"Jun-1964","-0.68"
"Jul-1964","-0.45"
"Aug-1964","-0.64"
"Sep-1964","-0.78"
"Oct-1964","-0.74"
"Nov-1964","-0.76"
"Dec-1964","-0.62"
"Jan-1965","-0.17"
"Feb-1965"," 0.03"
"Mar-1965"," 0.34"
"Apr-1965"," 0.08"
"May-1965"," 0.70"
"Jun-1965"," 1.09"
"Jul-1965"," 1.31"
"Aug-1965"," 1.75"
"Sep-1965"," 1.95"
"Oct-1965"," 2.12"
"Nov-1965"," 2.02"
"Dec-1965"," 1.98"
"Jan-1966"," 1.70"
"Feb-1966"," 1.27"
"Mar-1966"," 1.59"
"Apr-1966"," 0.92"
"May-1966"," 0.10"
"Jun-1966"," 0.35"
"Jul-1966"," 0.41"
"Aug-1966"," 0.04"
"Sep-1966","-0.05"
"Oct-1966","-0.06"
"Nov-1966","-0.11"
"Dec-1966","-0.20"
"Jan-1967","-0.20"
"Feb-1967","-0.12"
"Mar-1967","-0.28"
"Apr-1967","-0.78"
"May-1967","-0.12"
"Jun-1967"," 0.34"
"Jul-1967"," 0.31"
"Aug-1967"," 0.26"
"Sep-1967","-0.26"
"Oct-1967","-0.07"
"Nov-1967"," 0.10"
"Dec-1967"," 0.02"
"Jan-1968","-0.16"
"Feb-1968","-0.50"
"Mar-1968","-0.34"
"Apr-1968","-0.10"
"May-1968","-0.13"
"Jun-1968"," 0.71"
"Jul-1968"," 0.77"
"Aug-1968"," 0.59"
"Sep-1968"," 0.39"
"Oct-1968"," 0.36"
"Nov-1968"," 0.91"
"Dec-1968"," 1.04"
"Jan-1969"," 1.25"
"Feb-1969"," 1.42"
"Mar-1969"," 0.72"
"Apr-1969"," 0.41"
"May-1969"," 0.48"
"Jun-1969"," 0.16"
"Jul-1969"," 0.06"
"Aug-1969"," 0.48"
"Sep-1969"," 0.75"
"Oct-1969"," 0.94"
"Nov-1969"," 0.66"
"Dec-1969"," 0.62"
"Jan-1970"," 0.44"
"Feb-1970"," 0.45"
"Mar-1970"," 0.05"
"Apr-1970"," 0.25"
"May-1970"," 0.04"
"Jun-1970","-0.27"
"Jul-1970","-0.65"
"Aug-1970","-0.82"
"Sep-1970","-0.61"
"Oct-1970","-0.63"
"Nov-1970","-0.66"
"Dec-1970","-0.80"
"Jan-1971","-1.28"
"Feb-1971","-1.02"
"Mar-1971","-0.77"
"Apr-1971","-0.69"
"May-1971","-0.34"
"Jun-1971","-0.40"
"Jul-1971","-0.48"
"Aug-1971","-0.44"
"Sep-1971","-0.39"
"Oct-1971","-0.57"
"Nov-1971","-0.48"
"Dec-1971","-0.50"
"Jan-1972","-0.42"
"Feb-1972","-0.01"
"Mar-1972"," 0.49"
"Apr-1972"," 0.76"
"May-1972"," 1.07"
"Jun-1972"," 0.98"
"Jul-1972"," 1.30"
"Aug-1972"," 1.51"
"Sep-1972"," 1.67"
"Oct-1972"," 1.92"
"Nov-1972"," 2.29"
"Dec-1972"," 2.41"
"Jan-1973"," 2.09"
"Feb-1973"," 1.56"
"Mar-1973"," 0.54"
"Apr-1973","-0.44"
"May-1973","-0.86"
"Jun-1973","-0.99"
"Jul-1973","-1.34"
"Aug-1973","-1.39"
"Sep-1973","-1.46"
"Oct-1973","-1.78"
"Nov-1973","-2.15"
"Dec-1973","-1.92"
"Jan-1974","-1.57"
"Feb-1974","-1.12"
"Mar-1974","-0.88"
"Apr-1974","-0.86"
"May-1974","-0.84"
"Jun-1974","-0.67"
"Jul-1974","-0.41"
"Aug-1974","-0.03"
"Sep-1974","-0.13"
"Oct-1974","-0.39"
"Nov-1974","-0.57"
"Dec-1974","-0.39"
"Jan-1975"," 0.22"
"Feb-1975","-0.07"
"Mar-1975","-0.53"
