"indicator","Gag Grouper_SEDAR72_Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","30.38407284"
"2001","32.051426946"
"2002","32.876175288"
"2003","33.838491918"
"2004","34.133910998"
"2005","31.765708194"
"2006","13.6479867106"
"2007","14.0201486128"
"2008","15.16117174"
"2009","13.9576917282"
"2010","14.159612874"
"2011","14.3662519066"
"2012","15.1185784816"
"2013","15.8747190492"
"2014","16.3970155734"
"2015","6.9450821088"
"2016","7.4410113778"
"2017","7.8380413936"
"2018","8.4397483302"
"2019","8.0167478908"
