"indicator","Gag Grouper_SEDAR72_RecDev","Gag Grouper_SEDAR72_RecDev","Gag Grouper_SEDAR72_RecDev"
"unit","log recruitment deviations","log recruitment deviations","log recruitment deviations"
"extent","Value","upper","lower"
"2000"," 0.5032350",NA,NA
"2001"," 0.2800760",NA,NA
"2002"," 0.5959390",NA,NA
"2003"," 0.2196790",NA,NA
"2004"," 0.1825200",NA,NA
"2005"," 0.4756280",NA,NA
"2006"," 0.4498320",NA,NA
"2007"," 0.5543170",NA,NA
"2008"," 0.0561590",NA,NA
"2009","-0.1530620",NA,NA
"2010"," 0.3545460",NA,NA
"2011","-1.1506300",NA,NA
"2012","-0.3407220",NA,NA
"2013","-0.0130048",NA,NA
"2014"," 0.0138566",NA,NA
"2015","-0.2082500",NA,NA
"2016"," 0.0704171",NA,NA
"2017"," 0.0227715",NA,NA
"2018","-0.6685410",NA,NA
"2019","-0.3407220",NA,NA
