"indicator","Gray Snapper_SEDAR75_Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","36.083897388"
"2001","36.228079536"
"2002","36.530112476"
"2003","37.426290506"
"2004","37.746180868"
"2005","37.54357629"
"2006","38.697915322"
"2007","41.324720052"
"2008","42.861781116"
"2009","42.615525062"
"2010","41.946422892"
"2011","43.99980596"
"2012","46.74345555"
"2013","47.424462668"
"2014","47.299460714"
"2015","47.372654098"
"2016","47.563353728"
"2017","47.956878398"
"2018","49.576833174"
"2019","52.894124888"
"2020","56.773153778"
