"indicator","Gray Snapper_SEDAR75_Commercial_Catch","Gray Snapper_SEDAR75_Commercial_Catch","Gray Snapper_SEDAR75_Commercial_Catch","Gray Snapper_SEDAR75_Commercial_Catch"
"unit","Metric tons","Metric tons","Metric tons","Metric tons"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio"
"2000","136.34548","136.4568","0.111320000000006","1224.80668343507"
"2001","143.99204","144.0979","0.105860000000007","1360.21197808417"
"2002","169.74517","169.87166","0.12648999999999","1341.96513558395"
"2003","148.37842","148.49796","0.119540000000001","1241.24493893257"
"2004","155.417925","155.552905","0.134979999999985","1151.41446881033"
"2005","139.148572","139.275142","0.126569999999987","1099.38035869491"
"2006","124.031101","124.146791","0.115690000000001","1072.09872071916"
"2007","95.56533","95.6607","0.0953700000000168","1002.04812834207"
"2008","100.776202","100.873072","0.0968699999999814","1040.32416640879"
"2009","123.259132","123.362032","0.102900000000005","1197.85356656942"
"2010","97.16365","97.23747","0.0738199999999978","1316.22392305612"
"2011","111.52788","111.61123","0.0833499999999958","1338.06694661074"
"2012","116.07535","116.17288","0.0975300000000061","1190.15021019166"
"2013","104.480942","104.585002","0.104060000000004","1004.04518546988"
"2014","131.61539","131.74167","0.126280000000008","1042.25047513455"
"2015","119.5421999","119.6476999","0.105499999999992","1133.10142085316"
"2016","120.1875","120.2926","0.105099999999993","1143.55375832548"
"2017","92.75941","92.8428","0.0833899999999943","1112.35651756813"
"2018","94.01726","94.10836","0.0910999999999973","1032.02261251375"
"2019","80.45595","80.54147","0.0855200000000025","940.785196445249"
"2020","65.55291","65.62889","0.0759800000000013","862.765332982349"
