"indicator","Gray Snapper_SEDAR75_RecDev"
"unit","log recruitment deviations"
"extent","Value"
"2000","-0.6210070"
"2001"," 0.0814414"
"2002","-0.0666022"
"2003"," 0.0602533"
"2004"," 0.0389567"
"2005"," 0.0899796"
"2006"," 0.3562340"
"2007","-0.1642840"
"2008","-0.2482670"
"2009","-0.1661640"
"2010"," 0.0871219"
"2011"," 0.4688020"
"2012"," 0.5126270"
"2013","-0.3175850"
"2014"," 0.4132460"
"2015"," 0.0703361"
"2016"," 0.4753600"
"2017"," 0.4113950"
"2018"," 0.7577350"
"2019"," 0.7101290"
"2020"," 0.3613120"
