"indicator","Gray Snapper_SEDAR75_Recreational_Catch","Gray Snapper_SEDAR75_Recreational_Catch","Gray Snapper_SEDAR75_Recreational_Catch","Gray Snapper_SEDAR75_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","1952.025","2280.002","327.977","5.95171307744141"
"2001","2356.862","2697.59","340.728","6.91713624944237"
"2002","1759.602","2080.507","320.905","5.48324893660117"
"2003","2529.899","2990.225","460.326","5.49588552460647"
"2004","3097.605","3671.123","573.518","5.40105977493296"
"2005","2410.368","2880.594","470.226","5.12597772135101"
"2006","1986.331","2319.451","333.12","5.96280919788664"
"2007","2340.052","2787.038","446.986","5.23517962531265"
"2008","3483.276","4015.274","531.998","6.54753589299208"
"2009","3355.568","3767.527","411.959","8.14539310950847"
"2010","1561.608","1745.823","184.215","8.47709469912873"
"2011","1906.412","2250.615","344.203","5.53862691493101"
"2012","3896.321","4766.039","869.718000000001","4.47998201715958"
"2013","3623.623","4383.713","760.09","4.76736044415793"
"2014","4504.289","5161.182","656.893","6.8569599615158"
"2015","3683.459","4335.761","652.302000000001","5.64686142308317"
"2016","4246.49","5010.385","763.895","5.55899698256959"
"2017","3566.537","4460.906","894.369","3.98776903045611"
"2018","3541.505","4381.443","839.938","4.21638859058645"
"2019","3708.458","4786.318","1077.86","3.44057484274396"
"2020","4034.047","4984.196","950.149","4.24569935873216"
