"indicator","Gray Snapper SEDAR75 Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","34.221654874"
"2001","35.04133259"
"2002","34.15838228"
"2003","35.375773444"
"2004","35.421850002"
"2005","35.267526602"
"2006","36.296202294"
"2007","38.20716691"
"2008","41.00372738"
"2009","40.904739942"
"2010","40.085944074"
"2011","41.597652008"
"2012","43.237889288"
"2013","43.784414586"
"2014","45.688985804"
"2015","44.067267332"
"2016","45.201544322"
"2017","44.43301379"
"2018","46.25733684"
"2019","48.202693528"
"2020","52.292704552"
