"indicator","Greater Amberjack_SEDAR70_Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","10.7659531232"
"2001","13.6555706034"
"2002","17.0925731834"
"2003","17.5812492526"
"2004","14.4136732828"
"2005","12.4086816238"
"2006","10.044910106"
"2007","9.2969486786"
"2008","11.1313909344"
"2009","13.100623657"
"2010","15.324644313"
"2011","12.795394018"
"2012","12.2596052194"
"2013","12.41862446"
"2014","11.6119099096"
"2015","11.8744801516"
"2016","11.7519694182"
"2017","10.6876009284"
"2018","10.6945895738"
