"indicator","Greater Amberjack_SEDAR70_RecDev","Greater Amberjack_SEDAR70_RecDev","Greater Amberjack_SEDAR70_RecDev"
"unit","log recruitment deviations","log recruitment deviations","log recruitment deviations"
"extent","Value","upper","lower"
"2000"," 0.93620100"," 1.05110500"," 0.82129700"
"2001"," 0.24889300"," 0.39244900"," 0.10533700"
"2002","-0.15055500","-0.00317400","-0.29793600"
"2003"," 0.04326900"," 0.15834100","-0.07180300"
"2004","-0.50417300","-0.37930800","-0.62903800"
"2005","-0.20502400","-0.09800000","-0.31204800"
"2006"," 0.42040100"," 0.51702450"," 0.32377750"
"2007"," 0.38433100"," 0.48103040"," 0.28763160"
"2008"," 0.45063400"," 0.53645200"," 0.36481600"
"2009"," 0.00889819"," 0.09917049","-0.08137411"
"2010","-0.46748800","-0.36525000","-0.56972600"
"2011"," 0.05253660"," 0.14272010","-0.03764690"
"2012"," 0.05722010"," 0.15030810","-0.03586790"
"2013","-0.19357400","-0.07934200","-0.30780600"
"2014"," 0.18762800"," 0.31215000"," 0.06310600"
"2015","-0.59875500","-0.37361500","-0.82389500"
"2016","-0.66004700","-0.39384500","-0.92624900"
"2017","-0.48830200","-0.17046500","-0.80613900"
"2018","-0.19108600"," 0.25726300","-0.63943500"
