"indicator","Karenia brevis Bloom Intensity (Regional Average)"
"unit","Mean Log Concentration (>10k Cells)"
"extent","Florida Gulf Coast"
"1985","NaN"
"1985.08333333333","NaN"
"1985.16666666667","NaN"
"1985.25","NaN"
"1985.33333333333","NaN"
"1985.41666666667","NaN"
"1985.5","NaN"
"1985.58333333333","NaN"
"1985.66666666667","103494.928382605"
"1985.75","87495.2547877285"
"1985.83333333333","246802.80939817"
"1985.91666666667","NaN"
"1986","NaN"
"1986.08333333333","NaN"
"1986.16666666667","NaN"
"1986.25","NaN"
"1986.33333333333","NaN"
"1986.41666666667","NaN"
"1986.5","NaN"
"1986.58333333333","NaN"
"1986.66666666667","407780.027346737"
"1986.75","191751.385038184"
"1986.83333333333","44904.8131510417"
"1986.91666666667","24467.1911417643"
"1987","20558.8993896484"
"1987.08333333333","709559.50578801"
"1987.16666666667","NaN"
"1987.25","NaN"
"1987.33333333333","120132.183227657"
"1987.41666666667","27181.634765625"
"1987.5","NaN"
"1987.58333333333","NaN"
"1987.66666666667","14319.1572265625"
"1987.75","NaN"
"1987.83333333333","NaN"
"1987.91666666667","NaN"
"1988","NaN"
"1988.08333333333","NaN"
"1988.16666666667","NaN"
"1988.25","NaN"
"1988.33333333333","NaN"
"1988.41666666667","NaN"
"1988.5","NaN"
"1988.58333333333","NaN"
"1988.66666666667","NaN"
"1988.75","103948.569473354"
"1988.83333333333","1399239.52103175"
"1988.91666666667","NaN"
"1989","NaN"
"1989.08333333333","NaN"
"1989.16666666667","41717.6867397375"
"1989.25","225963.875"
"1989.33333333333","NaN"
"1989.41666666667","NaN"
"1989.5","NaN"
"1989.58333333333","NaN"
"1989.66666666667","NaN"
"1989.75","NaN"
"1989.83333333333","NaN"
"1989.91666666667","NaN"
"1990","NaN"
"1990.08333333333","205206.933125"
"1990.16666666667","NaN"
"1990.25","NaN"
"1990.33333333333","NaN"
"1990.41666666667","NaN"
"1990.5","12241.5730678013"
"1990.58333333333","NaN"
"1990.66666666667","20790.6856853813"
"1990.75","NaN"
"1990.83333333333","NaN"
"1990.91666666667","NaN"
"1991","22638.0520917039"
"1991.08333333333","NaN"
"1991.16666666667","NaN"
"1991.25","NaN"
"1991.33333333333","NaN"
"1991.41666666667","NaN"
"1991.5","2973367.22083333"
"1991.58333333333","106820.954211812"
"1991.66666666667","36536.2303222656"
"1991.75","23464.638671875"
"1991.83333333333","NaN"
"1991.91666666667","NaN"
"1992","NaN"
"1992.08333333333","NaN"
"1992.16666666667","NaN"
"1992.25","NaN"
"1992.33333333333","NaN"
"1992.41666666667","NaN"
"1992.5","NaN"
"1992.58333333333","NaN"
"1992.66666666667","1493497.1450614"
"1992.75","60449.05078125"
"1992.83333333333","235889.873140938"
"1992.91666666667","127345.952016679"
"1993","NaN"
"1993.08333333333","NaN"
"1993.16666666667","NaN"
"1993.25","NaN"
"1993.33333333333","NaN"
"1993.41666666667","NaN"
"1993.5","NaN"
"1993.58333333333","NaN"
"1993.66666666667","NaN"
"1993.75","NaN"
"1993.83333333333","NaN"
"1993.91666666667","NaN"
"1994","NaN"
"1994.08333333333","NaN"
"1994.16666666667","NaN"
"1994.25","NaN"
"1994.33333333333","NaN"
"1994.41666666667","NaN"
"1994.5","NaN"
"1994.58333333333","NaN"
"1994.66666666667","6556372.69734848"
"1994.75","141774.199083094"
"1994.83333333333","249793.802125703"
"1994.91666666667","1096724.87578732"
"1995","233733.371399854"
"1995.08333333333","191999.23030574"
"1995.16666666667","NaN"
"1995.25","814090.230037823"
"1995.33333333333","450780.400147379"
"1995.41666666667","363770.745492104"
"1995.5","230327.574342105"
"1995.58333333333","81406.4955199491"
"1995.66666666667","194686.561535909"
"1995.75","19215.1687089224"
"1995.83333333333","22625.4726027716"
"1995.91666666667","216025.680210658"
"1996","107655.4765625"
"1996.08333333333","2793685.64614246"
"1996.16666666667","243692.69021622"
"1996.25","59844.5411939871"
"1996.33333333333","65285.2522426491"
"1996.41666666667","138208.9375"
"1996.5","10623.5575086806"
"1996.58333333333","13854.9434652991"
"1996.66666666667","30684.4295512635"
"1996.75","28612.701507112"
"1996.83333333333","17721.5311053936"
"1996.91666666667","34568.9111318877"
"1997","800738.187469122"
"1997.08333333333","15266.4290575447"
"1997.16666666667","NaN"
"1997.25","NaN"
"1997.33333333333","NaN"
"1997.41666666667","NaN"
"1997.5","NaN"
"1997.58333333333","133502.363157242"
"1997.66666666667","57642.9662314022"
"1997.75","200680.890360667"
"1997.83333333333","38438.4763261218"
"1997.91666666667","29033.3332356771"
"1998","380968.867739899"
"1998.08333333333","792338.169822412"
"1998.16666666667","64582.2695988907"
