"indicator","King Mackerel_SEDAR38U_Commercial_Catch","King Mackerel_SEDAR38U_Commercial_Catch","King Mackerel_SEDAR38U_Commercial_Catch","King Mackerel_SEDAR38U_Commercial_Catch","King Mackerel_SEDAR38U_Commercial_Catch"
"unit","Metric tons","Metric tons","Metric tons","Metric tons","Metric tons"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio","bycatch_discards"
"2000","972.478","996.366","23.888","40.7098961821835","223.629"
"2001","909.7501","931.5201","21.77","41.7891639871383","351.52"
"2002","921.252","941.573","20.3210000000001","45.3349736725552","235.065"
"2003","952.751","973.949","21.198","44.9453250306633","276.282"
"2004","966.264","985.641","19.3770000000001","49.8665428084841","202.827"
"2005","897.675","913.573","15.8979999999999","56.4646496414647","93.2315"
"2006","1003.836","1025.452","21.616","46.4394892672095","63.0845"
"2007","1051.301","1072.351","21.05","49.9430403800476","114.903"
"2008","1198.148","1216.7","18.5519999999999","64.5832255282453","37.3627"
"2009","1196.704","1214.876","18.172","65.8542813119083","26.9222"
"2010","1021.355","1034.852","13.4970000000001","75.6727420908346","43.2143"
"2011","1025.098","1043.722","18.624","55.0417740549827","37.3188"
"2012","1226.216","1245.024","18.8080000000002","65.1965121225003","50.7379"
"2013","1104.053","1121.881","17.828","61.9280345523896","100.988"
"2014","1297.477","1314.267","16.7900000000002","77.2767718880277","23.8451"
"2015","1188.679","1205.991","17.3119999999999","68.6621418669135","146.715"
"2016","1305.919","1321.739","15.8199999999999","82.5486093552469","37.142"
"2017","1454.02","1469.58","15.5599999999999","93.4460154241649","80.9892"
