"indicator","King Mackerel_SEDAR38U_Recreational_Catch","King Mackerel_SEDAR38U_Recreational_Catch","King Mackerel_SEDAR38U_Recreational_Catch","King Mackerel_SEDAR38U_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","1191.0957","1278.732","87.6363000000001","13.5913508443419"
"2001","1606.6305","1613.7017","7.07119999999986","227.207616811861"
"2002","648.3089","702.8891","54.5802","11.878096818993"
"2003","632.241","635.1065","2.86549999999988","220.638980980641"
"2004","719.0178","860.1271","141.1093","5.09546713079861"
"2005","591.5264","695.6444","104.118","5.68130774697939"
"2006","689.1756","691.5018","2.32619999999997","296.266701057522"
"2007","567.4604","568.9229","1.46250000000009","388.007111111087"
"2008","516.0012","572.2943","56.2931","9.16633121998967"
"2009","467.9219","521.0556","53.1337","8.806499453266"
"2010","414.2095","455.4218","41.2123","10.050628089187"
"2011","495.682","536.6957","41.0137000000001","12.0857664634012"
"2012","686.3229","746.7776","60.4546999999999","11.3526806021699"
"2013","439.25314","440.75667","1.50352999999996","292.147905262957"
"2014","676.0511","680.0998","4.04869999999994","166.979795983899"
"2015","513.7539","596.6125","82.8585999999999","6.20036906247512"
"2016","561.333","565.1366","3.80360000000007","147.57939846461"
"2017","540.125","613.0463","72.9213","7.4069579121601"
