"indicator","Northernmost Extent of Loop Current"
"unit","latitude"
"extent","Gulf of America"
"1994","26.3125"
"1994.08333333333","26.4375"
"1994.16666666667","26.9375"
"1994.25","26.6875"
"1994.33333333333","26.9375"
"1994.41666666667","27.3125"
"1994.5","27.4375"
"1994.58333333333","28.0625"
"1994.66666666667","25.5625"
"1994.75","25.8125"
"1994.83333333333","25.3125"
"1994.91666666667","26.0625"
"1995","26.6875"
"1995.08333333333","27.3125"
"1995.16666666667","25.0625"
"1995.25","27.9375"
"1995.33333333333","26.0625"
"1995.41666666667","26.6875"
"1995.5","26.9375"
"1995.58333333333","27.6875"
"1995.66666666667","25.9375"
"1995.75","25.4375"
"1995.83333333333","25.8125"
"1995.91666666667","26.3125"
"1996","26.9375"
"1996.08333333333","23.5625"
"1996.16666666667","26.1875"
"1996.25","25.9375"
"1996.33333333333","26.4375"
"1996.41666666667","26.6875"
"1996.5","26.8125"
"1996.58333333333","23.4375"
"1996.66666666667","23.8125"
"1996.75","24.4375"
"1996.83333333333","24.4375"
"1996.91666666667","24.0625"
"1997","24.4375"
"1997.08333333333","24.8125"
"1997.16666666667","25.3125"
"1997.25","25.6875"
"1997.33333333333","26.4375"
"1997.41666666667","26.9375"
"1997.5","27.3125"
"1997.58333333333","27.5625"
"1997.66666666667","27.8125"
"1997.75","25.0625"
"1997.83333333333","26.1875"
"1997.91666666667","26.8125"
"1998","27.4375"
"1998.08333333333","23.9375"
"1998.16666666667","24.6875"
"1998.25","24.5625"
"1998.33333333333","24.6875"
"1998.41666666667","24.3125"
"1998.5","24.9375"
"1998.58333333333","25.3125"
"1998.66666666667","24.6875"
"1998.75","24.4375"
"1998.83333333333","24.3125"
"1998.91666666667","25.4375"
"1999","25.6875"
"1999.08333333333","26.6875"
"1999.16666666667","26.6875"
"1999.25","26.8125"
"1999.33333333333","27.1875"
"1999.41666666667","28.0625"
"1999.5","27.1875"
"1999.58333333333","28.4375"
"1999.66666666667","27.9375"
"1999.75","24.5625"
"1999.83333333333","25.4375"
"1999.91666666667","26.1875"
"2000","26.5625"
"2000.08333333333","26.8125"
"2000.16666666667","26.8125"
"2000.25","26.8125"
"2000.33333333333","26.6875"
"2000.41666666667","26.3125"
"2000.5","25.8125"
"2000.58333333333","26.1875"
"2000.66666666667","26.8125"
"2000.75","26.8125"
"2000.83333333333","26.8125"
"2000.91666666667","26.9375"
"2001","27.1875"
"2001.08333333333","26.8125"
"2001.16666666667","27.5625"
"2001.25","25.5625"
"2001.33333333333","26.0625"
"2001.41666666667","26.5625"
"2001.5","27.3125"
"2001.58333333333","27.5625"
"2001.66666666667","27.6875"
"2001.75","26.6875"
"2001.83333333333","27.3125"
"2001.91666666667","23.5625"
"2002","26.9375"
