"indicator","Mutton Snapper_SEDAR79_Commercial_Catch","Mutton Snapper_SEDAR79_Commercial_Catch","Mutton Snapper_SEDAR79_Commercial_Catch","Mutton Snapper_SEDAR79_Commercial_Catch"
"unit","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio"
"2000","204.642087804","206.390131002","1.748043198","117.069239500567"
"2001","232.991516846","234.86698708","1.87547023399998","124.230986246622"
"2002","233.677374128","235.548655584","1.87128145599996","124.87558906692"
"2003","266.92657112","268.797632114","1.871060994","142.660539648874"
"2004","347.051059938","349.1677156","2.11665566200003","163.961983126755"
"2005","236.742236852","238.476611406","1.734374554","136.500063556629"
"2006","287.049019708","288.664344782","1.61532507400005","177.70356216732"
"2007","221.251474422","223.034130154","1.78265573199997","124.11340588672"
"2008","157.432134662","158.851909942","1.41977528000001","110.885248447204"
"2009","120.81758524","121.954507774","1.13692253400001","106.267209617994"
"2010","128.193361912","128.998709598","0.805347686000033","159.177662195449"
"2011","158.998958096","159.666076108","0.667118012000003","238.337078651684"
"2012","165.925433212","166.844318828","0.918885616000011","180.572456813817"
"2013","181.113721778","182.25042385","1.13670207199996","159.332622187748"
"2014","227.94007104","229.39842717","1.45835613000003","156.299319727888"
"2015","224.927898734","226.66028913","1.732390396","129.83672690252"
"2016","150.301952658","151.944835482","1.642882824","91.4867149758455"
"2017","191.78871228","193.561888146","1.773175866","108.161133905259"
"2018","222.93448133","231.467242578","8.53276124799999","26.1268861099628"
"2019","136.856416202","143.405680836","6.549264634","20.8964553808867"
"2020","141.977748462","147.888334682","5.91058621999997","24.0209250279748"
"2021","124.669938228","129.433901586","4.76396335799998","26.1693738719979"
"2022","130.263500092","134.953167756","4.68966766400001","27.7767017675817"
"2023","160.0113196","165.1591073","5.14778769999998","31.083511777302"
