"indicator","Mutton Snapper_SEDAR79_RecDev"
"unit","log recruitment deviations"
"extent","Value"
"2000","-0.0568623"
"2001","-0.1032910"
"2002"," 0.1430910"
"2003"," 0.4697390"
"2004"," 0.0427782"
"2005"," 0.9349930"
"2006"," 0.4406150"
"2007"," 0.2359110"
"2008","-0.3692570"
"2009","-1.1733800"
"2010","-0.4148030"
"2011"," 0.4121110"
"2012"," 0.3356060"
"2013"," 0.3713230"
"2014"," 0.6539840"
"2015"," 0.9392630"
"2016"," 0.6145220"
"2017"," 0.4873350"
"2018"," 0.6883400"
"2019"," 0.4422760"
"2020"," 0.9959810"
"2021"," 0.9693520"
"2022"," 0.5912640"
