"indicator","Mutton Snapper_SEDAR79_Recreational_Catch","Mutton Snapper_SEDAR79_Recreational_Catch","Mutton Snapper_SEDAR79_Recreational_Catch","Mutton Snapper_SEDAR79_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","89.2591","136.6979","47.4388","1.88156319299814"
"2001","63.5495","92.7003","29.1508","2.18002593410815"
"2002","150.7818","212.1767","61.3949","2.45593363618151"
"2003","135.3055","192.7549","57.4494","2.35521171674552"
"2004","102.4156","160.7184","58.3028","1.7566154627222"
"2005","139.597","210.4354","70.8384","1.97064021773501"
"2006","288.179","458.398","170.219","1.69298961925519"
"2007","248.298","396.037","147.739","1.680653043543"
"2008","670.3549","974.371","304.0161","2.20499802477566"
"2009","205.6098","275.8044","70.1946","2.92913984836441"
"2010","132.8158","163.719","30.9032","4.29780087499029"
"2011","58.3383","71.5684","13.2301","4.40951315560729"
"2012","142.7712","209.5021","66.7309","2.13950658540496"
"2013","199.5026","323.312","123.8094","1.61136876521492"
"2014","274.038","426.949","152.911","1.79214052618844"
"2015","285.3045","445.66","160.3555","1.77919996507759"
"2016","339.6944","556.786","217.0916","1.56475146896517"
"2017","416.1221","653.4923","237.3702","1.75305114121318"
"2018","152.682","334.427","181.745","0.84008913587719"
"2019","179.556","355.449","175.893","1.02082516075114"
"2020","250.9627","433.557","182.5943","1.3744278983517"
"2021","236.911","497.188","260.277","0.910226412629622"
"2022","252.674","558.232","305.558","0.826926475497287"
"2023","262.451","540.353","277.902","0.944401263754849"
