indicator ,Ocean Economy Real GDP,Ocean Economy Real Wages,Ocean Economy Employment,Ocean Economy Establishments ,Coastal Tourism Real GDP,Coastal Tourism Real Wages,Coastal Tourism Economy Employment,Coastal Tourism Establishments 
unit,2024 Dollars,2024 Dollars,2024 Dollars,2024 Dollars,2024 Dollars,2024 Dollars,2024 Dollars,2024 Dollars
extent,Gulf Region,Gulf Region,Gulf Region,Gulf Region,Gulf Region,Gulf Region,Gulf Region,Gulf Region
2001,35398000000,19087011180,412823,16990,11559000000,5890903101,246290,12473
2002,33840000000,18429659447,404861,17069,11871000000,5997304757,248510,12727
2003,58123000000,25351607855,438875,18139,12840000000,6316686038,258570,13411
2004,80542000000,32363497138,516889,21862,15750000000,7201907219,287317,15458
2005,77754000000,34663031733,518601,22311,15535000000,7232755661,283436,15812
2006,86365000000,37257076819,526502,22292,15715000000,7271491272,278208,15690
2007,94668000000,41356753775,551335,22884,15640000000,7622716851,289217,16051
2008,90935000000,42828959955,559289,23712,14915000000,7422818540,289224,16725
2009,99098000000,40424298534,537116,23752,13990000000,7334835739,285757,16935
2010,88948000000,39075489679,528343,24282,14986000000,7410692042,288521,17418
2011,92785000000,42087291792,549493,24610,15289000000,7638952703,300456,17671
2012,1.04269E+11,44612933329,568241,24543,14972000000,7775797500,303992,17463
2013,1.12056E+11,46442325862,593291,25064,15431000000,8159920891,318208,17843
2014,1.17514E+11,47665034243,606724,25265,15881000000,8508381930,329683,17961
2015,1.32661E+11,46395262507,609256,25341,16833000000,9163894155,343063,18012
2016,1.27962E+11,42463931039,594348,25502,17137000000,9524918504,353795,18302
2017,1.1174E+11,38648978279,588581,25591,17287000000,9739042391,361172,18600
2018,1.14107E+11,39265026430,595362,25937,17003000000,10050321609,365905,18992
2019,1.32352E+11,41225370486,617531,26472,17439000000,10436907020,371698,19510
2020,1.34251E+11,37656168284,548812,26615,14135000000,8963957334,315118,19688
2021,1.2087E+11,36245004548,587970,27392,17543000000,10604955857,343426,20383
2022,1.12243E+11,38550646431,637283,28736,19107000000,11729547297,380810,21589
2023,1.54445E+11,39948995990,652136,29189,19542000000,12037959645,391635,21975
2024,1.53504E+11,42874986082,665969,30032,18895000000,12306598882,396416,22696
