"indicator","Red Grouper_SEDAR88_RecDev"
"unit","log recruitment deviations"
"extent","Value"
"2000","-0.1162230"
"2001","-0.8206230"
"2002"," 1.0192600"
"2003","-0.8625520"
"2004"," 0.2179130"
"2005","-1.9658900"
"2006"," 1.6631400"
"2007"," 0.6203560"
"2008","-0.7923170"
"2009","-0.3387390"
"2010","-0.5085270"
"2011","-0.7709120"
"2012","-0.1411190"
"2013","-1.0774400"
"2014"," 0.6270700"
"2015"," 0.7381000"
"2016","-0.0503677"
"2017","-0.2867690"
"2018"," 0.4330100"
"2019"," 0.5740160"
"2020"," 0.8057620"
"2021"," 0.6218180"
"2022","-0.4083660"
