"indicator","Red Grouper_SEDAR88_Recreational_Catch","Red Grouper_SEDAR88_Recreational_Catch","Red Grouper_SEDAR88_Recreational_Catch","Red Grouper_SEDAR88_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","493.318","866.531","373.213","1.32181354883136"
"2001","290.692","586.329","295.637","0.983273406238056"
"2002","267.22","623.626","356.406","0.74976291083764"
"2003","317.765","635.06","317.295","1.00148127137207"
"2004","847.952","1488.41","640.458","1.32397752858111"
"2005","344.384","595.652","251.268","1.37058439594377"
"2006","268.638","454.794","186.156","1.44307999742152"
"2007","222.859","360.192","137.333","1.62276364748458"
"2008","325.473","697.909","372.436","0.873903167255582"
"2009","235.275","681.898","446.623","0.52678657391133"
"2010","336.47","758.305","421.835","0.797634146052367"
"2011","456.295","716.32","260.025","1.75481203730411"
"2012","839.527","1144.32","304.793","2.75441693214739"
"2013","1005.08","1358.82","353.74","2.84129586702098"
"2014","771.461","1144.37","372.909","2.06876476566669"
"2015","373.418","619.156","245.738","1.51957776168114"
"2016","299.239","614.721","315.482","0.948513702842"
"2017","113.276","299.763","186.487","0.607420356378729"
"2018","137.308","343.944","206.636","0.664492150448131"
"2019","121.835","230.613","108.778","1.1200334626487"
"2020","262.111","434.191","172.08","1.52319270106927"
"2021","374.595","660.128","285.533","1.3119149100104"
"2022","181.457","367.181","185.724","0.97702504792057"
