"indicator","Red Snapper_SEDAR74_Biomass","Red Snapper_SEDAR74_Biomass","Red Snapper_SEDAR74_Biomass"
"unit","Million pounds","Million pounds","Million pounds"
"extent","East","West","Central"
"2000","0.84427466134","16.8078244642","36.581700584"
"2001","1.12565031194","18.5776052154","35.105927956"
"2002","1.4197642569","19.1724557838","34.115833114"
"2003","1.76072417224","17.3933935824","34.439691792"
"2004","2.2596032228","17.5477390286","36.636595622"
"2005","2.792922847","18.801440284","37.944155744"
"2006","2.9147060558","26.599622148","40.619903038"
"2007","3.4379285204","33.079661714","43.209229228"
"2008","4.4551401884","37.141674064","46.176647748"
"2009","5.451694567","42.447312556","52.12713759"
"2010","6.68661246","50.419438938","63.634813066"
"2011","7.7640763926","50.439280518","69.984118666"
"2012","5.0415691084","49.255179116","81.045358592"
"2013","5.4615492184","49.698528198","90.514642416"
"2014","6.3881510044","44.765470486","95.520893512"
"2015","8.2275095628","50.680686408","105.02478987"
"2016","9.1842485042","57.489214354","113.162262752"
"2017","10.1997405686","62.082760586","117.996112564"
"2018","11.3917345102","57.328497556","125.536133426"
"2019","11.9917659356","64.10263343","134.984693822"
