"indicator","Red Snapper_SEDAR74_Commercial_Catch","Red Snapper_SEDAR74_Commercial_Catch","Red Snapper_SEDAR74_Commercial_Catch","Red Snapper_SEDAR74_Commercial_Catch","Red Snapper_SEDAR74_Commercial_Catch"
"unit","Metric tons","Metric tons","Metric tons","Metric tons","Metric tons"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio","bycatch_discards"
"2000","2142.639888","2382.294822","239.654934","21.0729314582457","1177.94637"
"2001","2096.325684","2306.225807","209.900123","24.0559784770546","1231.9132"
"2002","2190.58292","2403.142186","212.559266","25.6252674987189","1129.5568"
"2003","2197.67208","2422.201644","224.529564","26.1300059446842","1099.4383"
"2004","2275.54037","2489.193762","213.653392","26.5663477491553","1407.4674"
"2005","2133.246679","2306.466737","173.220058","27.2690573490074","1119.9532"
"2006","2682.499239","2897.14229","214.643051","26.5389306341616","940.3658"
"2007","1474.72314","1513.96442","39.24128","84.4105762628381","969.61911"
"2008","1136.02465","1167.14903","31.12438","90.8541475849717","761.2623"
"2009","1145.6856","1173.4936","27.808","110.593647087933","617.03624"
"2010","1550.41585","1598.5466","48.1307500000001","108.797382635824","793.2247"
"2011","1656.01506","1707.32348","51.3084200000001","119.930390412701","692.55854"
"2012","1862.644466","1912.150624","49.5061580000002","124.044036114225","735.70648"
"2013","2464.80987","2537.19541","72.38554","116.557121392302","734.03579"
"2014","2493.9592","2571.48142","77.52222","116.583602467638","714.73768"
"2015","3196.9952","3312.6155","115.6203","110.007714838387","867.319"
"2016","2999.03292","3098.229","99.1960800000001","109.162019668461","1221.5103"
"2017","3118.29113","3222.27803","103.9869","113.984324602014","804.626"
"2018","3111.5704","3234.0478","122.4774","106.996619342776","689.0563"
"2019","3414.7375","3566.2075","151.47","103.381604313386","786.2209"
