"indicator","Red Snapper_SEDAR74_Recreational_Catch","Red Snapper_SEDAR74_Recreational_Catch","Red Snapper_SEDAR74_Recreational_Catch","Red Snapper_SEDAR74_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","5.409112","8.140217","2.731105","1.98055805250988"
"2001","1.6924418","2.7185917","1.0261499","1.64931244450738"
"2002","8.75034","13.49374","4.7434","1.84474005987266"
"2003","4.820519","7.748708","2.928189","1.64624585366587"
"2004","10.288399","37.03048","26.742081","0.384726940285612"
"2005","121.02918","187.764214","66.735034","1.81357785777108"
"2006","66.989046","95.09619","28.107144","2.38334588530233"
"2007","46.569714","74.520154","27.95044","1.66615316252624"
"2008","9.4134","28.48609","19.07269","0.493553872054755"
"2009","31.61822","60.61442","28.9962","1.09042633172623"
"2010","9.31271","46.048101","36.735391","0.253507850236302"
"2011","19.2005522","682.0497801","662.8492279","0.0289666961834293"
"2012","17.20187","26.187354","8.985484","1.9144066140455"
"2013","14.02867","20.64977","6.6211","2.11878237755056"
"2014","9.09829","28.2088","19.11051","0.476088288590938"
"2015","12.65743","26.87163","14.2142","0.890477832027128"
"2016","36.22764","302.30329","266.07565","0.13615541294365"
"2017","101.19841","241.6324","140.43399","0.720611940172034"
"2018","142.19864","361.4453","219.24666","0.648578363747936"
"2019","126.9365","269.09798","142.16148","0.892903619180104"
"2000","1265.6289","2246.7473","981.1184","1.28998589772651"
"2001","1311.1992","2798.046","1486.8468","0.881865703985105"
"2002","2060.1879","4165.3302","2105.1423","0.978645434087757"
"2003","1726.6868","3238.3101","1511.6233","1.14227321052805"
"2004","2080.7864","3788.452","1707.6656","1.21849757938557"
"2005","1606.0451","3107.9366","1501.8915","1.06934828514576"
"2006","1483.637","3117.0131","1633.3761","0.908325400377782"
"2007","2857.5774","4856.4074","1998.83","1.42962503064293"
"2008","1159.3756","2621.9334","1462.5578","0.792704124240423"
"2009","1972.839","3096.2402","1123.4012","1.75613040114253"
"2010","1564.4529","3011.1464","1446.6935","1.08139899709234"
"2011","1906.4561","3220.019","1313.5629","1.45136262603032"
"2012","1348.4151","2716.8031","1368.388","0.985404066682841"
"2013","1739.5401","3043.1877","1303.6476","1.33436374983546"
"2014","688.7152","1803.1476","1114.4324","0.617996389911133"
"2015","1020.6185","1941.329","920.7105","1.10851185035904"
"2016","1298.3369","2780.9594","1482.6225","0.875702952032631"
"2017","2678.7597","5136.7954","2458.0357","1.08979690571622"
"2018","1474.6945","2942.7711","1468.0766","1.00450787104706"
"2019","2054.4652","3945.168","1890.7028","1.08661456470049"
"2000","681.3147","1018.811696","337.496996","2.01872819039847"
"2001","562.3447","803.5193","241.1746","2.33169123116613"
"2002","618.4632","871.161863","252.698663","2.44743360593087"
"2003","602.7014","941.327884","338.626484","1.77984129557923"
"2004","650.503","1096.167716","445.664716","1.45962418976871"
"2005","898.9882","1467.94835","568.96015","1.58005477185001"
"2006","1149.615","1826.831","677.216","1.69756030572225"
"2007","772.7993","1223.47196","450.67266","1.71476854176155"
"2008","574.3499","983.75272","409.40282","1.40289678512718"
"2009","557.5046","856.70449","299.19989","1.86331819841244"
"2010","365.5076","599.690635","234.183035","1.56077744914357"
"2011","455.7464","779.694923","323.948523","1.40684821088071"
"2012","485.5483","728.86433","243.31603","1.99554587504983"
"2013","752.8434","1063.37031","310.52691","2.42440630990725"
"2014","665.8369","836.536881","170.699981","3.90062667903871"
"2015","807.2125","1038.94623","231.73373","3.48336213291004"
"2016","416.6097","516.79617","100.18647","4.15834293792365"
"2017","633.5454","763.93523","130.38983","4.85885593991495"
"2018","698.3785","854.96216","156.58366","4.46009819926294"
"2019","1182.1421","1454.92374","272.78164","4.33365713322935"
