"indicator","Red Snapper SEDAR74 Biomass","Red Snapper SEDAR74 Biomass","Red Snapper SEDAR74 Biomass"
"unit","Million pounds","Million pounds","Million pounds"
"extent","Area 1","Area 2","Area 3"
"2000","0.61927555338","10.7326633612","24.888837028"
"2001","0.80235160742","11.5413620696","26.065663184"
"2002","1.1137519778","12.8996945902","26.311919238"
"2003","1.45273214438","11.1395700746","25.208947852"
"2004","1.84224220136","10.7355734596","23.970612798"
"2005","2.273404144","10.2782250406","23.868538892"
"2006","2.14591978788","11.067743555","26.020909398"
"2007","2.692281944","20.081552887","29.02161768"
"2008","3.5749897458","26.486525142","36.21749736"
"2009","5.1583919222","38.445486332","45.204189866"
"2010","6.3343362302","41.558850696","50.040905684"
"2011","7.2607836928","45.977570562","60.652182668"
"2012","4.6510206754","43.816161114","67.673235982"
"2013","5.167298587","41.298705536","76.529194522"
"2014","5.537895209","38.78587966","85.450409814"
"2015","5.5886896538","40.530395466","92.344256554"
"2016","7.2821023682","43.78154858","97.176563132"
"2017","9.0503178392","48.704244578","106.408850306"
"2018","10.9352679392","49.247242484","113.588195336"
"2019","11.3976869842","54.012528614","119.271485234"
