"indicator","Sea Level Rise"
"unit","Change in mean sea level (mm)"
"extent","Gulf of America"
"1992.7944","14.97"
"1992.825","-0.42"
"1992.8484","-15.13"
"1992.8769","-22.62"
"1992.9043","-19.46"
"1992.9301","-34.35"
"1992.9606","-1.92"
"1992.9857","2.62"
"1993.0113","1.8"
"1993.0396","16.72"
"1993.063","26.41"
"1993.0971","40.68"
"1993.1202","22.49"
"1993.1482","33.91"
"1993.1758","-15.03"
"1993.2033","-41.53"
"1993.2302","-40.25"
"1993.2845","-9.61"
"1993.3115","-31.92"
"1993.3387","-28.16"
"1993.366","-22.12"
"1993.393","-5.54"
"1993.4201","-15.11"
"1993.4473","4.97"
"1993.4749","24.13"
"1993.5016","-6.45"
"1993.5287","-8.51"
"1993.5832","-9.06"
"1993.6123","-23.85"
"1993.6375","-37.72"
"1993.6644","-30.58"
"1993.6921","-23.79"
"1993.7186","-5.37"
"1993.7459","5.01"
"1993.7733","1.33"
"1993.8002","0.36"
"1993.8545","6.1"
"1993.8819","-14.92"
"1993.9089","-12.75"
"1993.936","7.77"
"1993.9629","-14.48"
"1993.9901","-20.61"
"1994.0169","-18.2"
"1994.0443","-23.58"
"1994.0713","-37.74"
"1994.0988","-16.4"
"1994.1264","8.28"
"1994.1531","19.43"
"1994.1804","-16.71"
"1994.2346","-47.66"
"1994.2616","-12.15"
"1994.2888","-6.68"
"1994.316","-8.19"
"1994.3429","-21.88"
"1994.3701","-24.94"
"1994.3972","9.45"
"1994.4242","-5.86"
"1994.4516","-24.13"
"1994.506","-4.14"
"1994.5331","-23.59"
"1994.5603","-53.23"
"1994.5874","-17.35"
"1994.6147","-13.79"
"1994.6419","-26.93"
"1994.6694","-15.98"
"1994.696","-18.4"
"1994.7235","-33.94"
"1994.7507","-41.85"
"1994.7775","-32.49"
"1994.8046","-19.13"
"1994.8323","-23.37"
"1994.8861","-7.45"
"1994.913","21.01"
"1994.9403","5.33"
"1994.9677","5.31"
"1994.9947","0.62"
"1995.0222","1.57"
"1995.0489","-23.6"
"1995.0761","-42.83"
"1995.1034","-49.76"
"1995.1308","-34.06"
"1995.1576","-24.5"
"1995.2119","5.62"
"1995.239","0.84"
"1995.2662","24.74"
"1995.293","5.78"
"1995.3204","-22.34"
"1995.3748","20.2"
"1995.4019","10.21"
"1995.4293","4.69"
"1995.456","-14.47"
"1995.4831","9.13"
"1995.5376","5.75"
"1995.5647","-6.23"
"1995.592","31.26"
"1995.6191","31.2"
"1995.6462","27.92"
"1995.6734","21.85"
"1995.7006","18.92"
"1995.7278","19.21"
"1995.7548","49.65"
"1995.7815","32.07"
"1995.837","-5.94"
"1995.8637","-8.04"
"1995.8903","-20.44"
"1995.9451","-22.6"
"1995.972","-27.42"
"1995.9999","-27.1"
"1996.0262","-36.81"
"1996.0532","-1.39"
"1996.0803","5.66"
"1996.1075","-20.35"
"1996.162","-38.57"
"1996.1891","-22.41"
