"indicator","Scamp Grouper_SEDAR68OA_Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","6.5109924308"
"2001","7.1610687302"
"2002","7.2323881872"
"2003","7.7540674178"
"2004","7.6134126618"
"2005","7.3616891502"
"2006","7.1855841046"
"2007","7.1825858214"
"2008","7.3239240096"
"2009","7.1027785774"
"2010","6.8038541516"
"2011","6.5866108968"
"2012","6.3996150284"
"2013","5.9292813976"
"2014","5.4681410322"
"2015","4.933719098"
"2016","4.667511233"
"2017","4.2010797796"
"2018","3.8722386604"
"2019","3.8243102216"
"2020","3.78974178"
