"indicator","Scamp Grouper_SEDAR68OA_Commercial_Catch","Scamp Grouper_SEDAR68OA_Commercial_Catch","Scamp Grouper_SEDAR68OA_Commercial_Catch","Scamp Grouper_SEDAR68OA_Commercial_Catch"
"unit","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio"
"2000","199.952861064","201.468316852","1.515455788","131.9423916206"
"2001","266.946853624","269.186086158","2.239232534","119.213547307276"
"2002","304.10748742","306.650075666","2.54258824599998","119.605479927166"
"2003","310.378088086","314.328546664","3.950458578","78.5676097996541"
"2004","316.73334616","320.43931238","3.70596621999994","85.4657941701383"
"2005","306.739362776","309.945762104","3.20639932800003","95.6647414741465"
"2006","218.011344408","219.975440366","1.96409595800003","110.998316309348"
"2007","273.911027742","276.001007502","2.08997976000001","131.05917721519"
"2008","276.994409274","279.09056197","2.09615269600005","132.144194362639"
"2009","250.113477614","252.353812458","2.24033484400002","111.641113953945"
"2010","155.975321766","159.001383178","3.02606141199996","51.5440040798491"
"2011","145.870666458","148.516210458","2.64554399999997","55.1382500000006"
"2012","250.323136976","254.62479152","4.30165454400003","58.1922919229188"
"2013","245.167633106","248.975673232","3.80804012600004","64.381578185607"
"2014","168.501752144","171.052277022","2.550524878","66.0655199239345"
"2015","178.549307794","180.964248542","2.41494074800005","73.935274785465"
"2016","285.940536772","289.820667972","3.88013119999999","73.6935227272728"
"2017","162.980501816","165.353995708","2.373493892","68.6669143600223"
"2018","142.612679022","144.705965712","2.09328668999999","68.1285939968409"
"2019","114.087762228","115.850355918","1.76259369","64.7272045028141"
"2020","119.030079344","120.955153528","1.92507418400001","61.8314246449836"
