"indicator","Scamp Grouper_SEDAR68OA_RecDev","Scamp Grouper_SEDAR68OA_RecDev","Scamp Grouper_SEDAR68OA_RecDev"
"unit","log recruitment deviations","log recruitment deviations","log recruitment deviations"
"extent","Value","upper","lower"
"2000"," 0.9925540"," 1.3061460"," 0.6789620"
"2001"," 0.0620691"," 0.7107851","-0.5866469"
"2002"," 0.9528810"," 1.2413830"," 0.6643790"
"2003"," 0.0488044"," 0.5606054","-0.4629966"
"2004","-0.0296052"," 0.3463758","-0.4055862"
"2005","-0.1796680"," 0.1547560","-0.5140920"
"2006"," 0.3142740"," 0.5248750"," 0.1036730"
"2007"," 0.6931280"," 0.8481940"," 0.5380620"
"2008"," 0.0659425"," 0.2908795","-0.1589945"
"2009","-0.3093260","-0.0829110","-0.5357410"
"2010","-0.2629600","-0.0882850","-0.4376350"
"2011","-0.3702520","-0.1992450","-0.5412590"
"2012","-0.3834770","-0.2105100","-0.5564440"
"2013","-0.8985040","-0.6504160","-1.1465920"
"2014","-0.7335910","-0.5030300","-0.9641520"
"2015"," 0.2608750"," 0.3960750"," 0.1256750"
"2016","-1.0004000","-0.6795910","-1.3212090"
"2017","-1.0808700","-0.7350440","-1.4266960"
