"indicator","Scamp Grouper_SEDAR68OA_Recreational_Catch","Scamp Grouper_SEDAR68OA_Recreational_Catch","Scamp Grouper_SEDAR68OA_Recreational_Catch","Scamp Grouper_SEDAR68OA_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","13.46561","21.70329","8.23768","1.63463620825281"
"2001","15.53329","26.43596","10.90267","1.42472348516464"
"2002","14.81122","24.88821","10.07699","1.46980596388406"
"2003","64.19414","91.46062","27.26648","2.3543244305829"
"2004","77.29516","107.13314","29.83798","2.59049573731198"
"2005","35.61066","47.1911","11.58044","3.07506968647132"
"2006","52.85244","67.11425","14.26181","3.70587183534208"
"2007","59.33949","74.40071","15.06122","3.93988601189014"
"2008","73.69914","95.62197","21.92283","3.36175302184983"
"2009","61.91383","81.99528","20.08145","3.08313543095742"
"2010","56.98385","74.40746","17.42361","3.27049618305277"
"2011","39.13597","49.22784","10.09187","3.87797008879425"
"2012","86.87255","106.9284","20.05585","4.33153169773408"
"2013","58.89683","71.66982","12.77299","4.61104486889914"
"2014","99.14889","119.33671","20.18782","4.91132227253859"
"2015","96.79191","115.87553","19.08362","5.07198896226188"
"2016","55.06522","69.16551","14.10029","3.90525443093723"
"2017","44.18986","56.71129","12.52143","3.52913844504981"
"2018","38.31673","48.50685","10.19012","3.7601843746688"
"2019","47.79622","61.79137","13.99515","3.41519883673987"
"2020","40.58048","54.90091","14.32043","2.83374731066036"
