"indicator","Spanish Mackerel_SEDAR81_Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","33.220757394"
"2001","33.46502929"
"2002","31.138273342"
"2003","29.663823486"
"2004","31.063316262"
"2005","32.997870312"
"2006","35.52965592"
"2007","34.344893132"
"2008","33.256472238"
"2009","31.848160982"
"2010","30.5560332"
"2011","29.761488152"
"2012","30.58028402"
"2013","30.641131532"
"2014","24.31144705"
"2015","27.20831773"
"2016","29.438511322"
"2017","33.948061532"
"2018","30.4678484"
"2019","33.172476216"
"2020","32.205750346"
"2021","35.965950218"
