"indicator","Spanish Mackerel_SEDAR81_RecDev"
"unit","log recruitment deviations"
"extent","Value"
"2000"," 0.15801400"
"2001","-0.13596100"
"2002","-0.11242100"
"2003"," 0.41957700"
"2004"," 0.22125900"
"2005","-0.03087350"
"2006","-0.41570000"
"2007"," 0.23779900"
"2008","-0.24505900"
"2009","-0.44784000"
"2010"," 0.53987200"
"2011","-0.13114700"
"2012","-0.18273000"
"2013"," 0.47634100"
"2014","-0.57636800"
"2015"," 0.44773900"
"2016"," 0.00238116"
"2017"," 0.06494130"
"2018"," 0.29730200"
"2019"," 0.44102500"
"2020","-0.44621600"
