"indicator","Spanish Mackerel_SEDAR81_Recreational_Catch","Spanish Mackerel_SEDAR81_Recreational_Catch","Spanish Mackerel_SEDAR81_Recreational_Catch","Spanish Mackerel_SEDAR81_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","4032.636","7258.823","3226.187","1.24996970107436"
"2001","5007.738","9200.265","4192.527","1.19444382826873"
"2002","5194.295","9510.415","4316.12","1.20346399080656"
"2003","4198.579","8647.289","4448.71","0.943774487435684"
"2004","5123.559","10508.292","5384.733","0.951497316580042"
"2005","3822.2471","6832.7415","3010.4944","1.26964099318703"
"2006","5380.299","8883.613","3503.314","1.53577412701231"
"2007","4637.394","8321.653","3684.259","1.2587046676143"
"2008","4974.502","9173.223","4198.721","1.18476602755934"
"2009","5293.274","8554.74","3261.466","1.62297384059806"
"2010","5470.511","11124.022","5653.511","0.967630734246382"
"2011","5914.235","12017.993","6103.758","0.968949784706406"
"2012","5775.464","10190.7","4415.236","1.30807594429833"
"2013","8985.715","19189.455","10203.74","0.88062955347745"
"2014","5040.273","10469.5283","5429.2553","0.928354391439283"
"2015","4303.296","8312.276","4008.98","1.07341418515433"
"2016","3691.265","7271.61","3580.345","1.03098025469613"
"2017","8674.242","16693.456","8019.214","1.08168231948917"
"2018","5222.209","10521.198","5298.989","0.985510443595939"
"2019","7572.981","16217.666","8644.685","0.876027408748844"
"2020","5020.908","9456.571","4435.663","1.13194081696468"
"2021","3889.674","6680.997","2791.323","1.39348760426507"
