"indicator","Annual Near Gale (≥28kts) Events with ≥25% Coverage","Annual Gale (≥34kts) Events with ≥25% Coverage"
"unit","Event count","Event count"
"extent","Gulf-wide","Gulf-wide"
"1940","4","0"
"1941","0","0"
"1942","2","1"
"1943","1","0"
"1944","2","1"
"1945","1","0"
"1946","1","0"
"1947","2","1"
"1948","2","0"
"1949","0","0"
"1950","1","0"
"1951","2","0"
"1952","3","0"
"1953","1","0"
"1954","0","0"
"1955","4","0"
"1956","2","0"
"1957","3","0"
"1958","1","0"
"1959","4","0"
"1960","2","0"
"1961","2","1"
"1962","2","0"
"1963","4","0"
"1964","1","0"
"1965","3","1"
"1966","3","0"
"1967","1","0"
"1968","2","0"
"1969","2","0"
"1970","1","0"
"1971","1","0"
"1972","4","0"
"1973","0","0"
"1974","1","0"
"1975","1","0"
"1976","1","0"
"1977","2","0"
"1978","2","0"
"1979","3","0"
"1980","3","0"
"1981","0","0"
"1982","1","0"
"1983","4","0"
"1984","2","0"
"1985","5","0"
"1986","0","0"
"1987","2","0"
"1988","3","0"
"1989","0","0"
"1990","0","0"
"1991","0","0"
"1992","2","0"
"1993","1","1"
"1994","1","0"
"1995","1","1"
"1996","3","0"
"1997","1","0"
"1998","5","0"
"1999","0","0"
"2000","1","0"
"2001","0","0"
"2002","3","0"
"2003","1","0"
"2004","1","1"
"2005","4","3"
"2006","1","0"
"2007","0","0"
"2008","5","2"
"2009","1","0"
"2010","1","0"
"2011","0","0"
"2012","2","0"
"2013","0","0"
"2014","1","0"
"2015","0","0"
"2016","4","0"
"2017","3","0"
"2018","2","0"
"2019","1","0"
"2020","4","0"
"2021","1","0"
"2022","5","0"
"2023","0","0"
"2024","5","0"
"2025","1","0"
