"indicator","Vermilion Snapper_SEDAR67_Commercial_Catch","Vermilion Snapper_SEDAR67_Commercial_Catch","Vermilion Snapper_SEDAR67_Commercial_Catch","Vermilion Snapper_SEDAR67_Commercial_Catch","Vermilion Snapper_SEDAR67_Commercial_Catch"
"unit","Metric tons","Metric tons","Metric tons","Metric tons","Metric tons"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio","bycatch_discards"
"2000","309.26314","346.70632","37.44318","8.2595319094158","24.0392"
"2001","355.09757","413.81434","58.71677","6.04763460251645","19.9938"
"2002","474.35153","570.16837","95.81684","4.95060711666133","24.8272"
"2003","463.75595","538.78355","75.0276","6.18113800787977","20.5388"
"2004","423.65747","489.55376","65.89629","6.4291551163199","24.5496"
"2005","368.97546","427.76316","58.7877","6.27640577875985","22.3283"
"2006","348.33786","403.86009","55.52223","6.27384490860687","17.8952"
"2007","383.59832","433.0283","49.42998","7.76043850311086","12.2981"
"2008","363.4164","401.147","37.7306","9.63187439372816","5.72923"
"2009","433.5508","469.21104","35.66024","12.1578205867375","7.95143"
"2010","693.5835","754.8753","61.2918","11.3160895911035","3.92843"
"2011","775.8223","841.4609","65.6385999999999","11.8196046228896","4.73608"
"2012","871.0217","935.5387","64.5170000000001","13.5006540911698","4.8966"
"2013","1065.9919","1154.2176","88.2257","12.0825553098474","6.18006"
"2014","1002.5906","1088.9005","86.3099","11.6161714936525","6.83199"
"2015","1390.943","1530.979","140.036","9.93275300636979","5.15969"
"2016","1185.8081","1306.017","120.2089","9.86456160899901","2.63057"
"2017","1521.43","1668.664","147.234","10.3334148362471","58.0366"
"2000","1929.2372","2113.0419","183.8047","10.4961255071279","269.515"
"2001","1743.0558","1953.4352","210.3794","8.2852969444727","215.724"
"2002","1679.3346","1885.8129","206.4783","8.13322562225666","310.052"
"2003","1541.796","1699.2313","157.4353","9.79320393837976","298.989"
"2004","1650.836","1819.252","168.416","9.80213281398442","370.869"
"2005","1475.01","1677.325","202.315","7.29066060351432","263.613"
"2006","1692.045","1977.398","285.353","5.92965554944227","200.806"
"2007","1019.1903","1068.9395","49.7492","20.4865666181567","134.166"
"2008","741.0564","767.1497","26.0933","28.4002560044149","66.9362"
"2009","689.558","711.2152","21.6572","31.8396653306984","155.788"
"2010","844.5399","867.9741","23.4342","36.0387766597536","135.213"
"2011","876.42027","900.81497","24.3946999999999","35.9266672678902","186.776"
"2012","982.51306","1010.89368","28.38062","34.619154197477","184.482"
"2013","1357.2335","1396.1313","38.8978","34.8922946799048","134.841"
"2014","1466.5506","1509.2948","42.7441999999999","34.3099321077481","147.041"
"2015","1882.4274","1934.9202","52.4928","35.8606780358449","243.415"
"2016","1778.956","1825.6398","46.6837999999998","38.1064951867673","184.682"
"2017","1644.05","1689.3327","45.2827","36.3063598239504","115.318"
