"indicator","Vermilion Snapper_SEDAR67_Recreational_Catch","Vermilion Snapper_SEDAR67_Recreational_Catch","Vermilion Snapper_SEDAR67_Recreational_Catch","Vermilion Snapper_SEDAR67_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","57.3851","65.6403","8.25519999999999","6.9513882159124"
"2001","51.0528","60.2682","9.2154","5.53994400677127"
"2002","73.333","89.4974","16.1644","4.53669792878177"
"2003","69.9837","82.6762","12.6925","5.51378373054954"
"2004","62.7904","73.6328","10.8424","5.79119014240389"
"2005","46.5957","55.102","8.5063","5.47778705194973"
"2006","48.2104","56.9158","8.7054","5.53798791554667"
"2007","63.2438","74.082","10.8382","5.8352678489048"
"2008","61.365","66.8029","5.43789999999999","11.2846871034775"
"2009","81.6556","87.5945","5.93889999999999","13.7492801697284"
"2010","35.2051","37.069","1.8639","18.887869520897"
"2011","70.5418","72.6626","2.1208","33.2618823085628"
"2012","55.3294","56.8822","1.5528","35.6320195775374"
"2013","45.5278","46.7767","1.2489","36.4543198014253"
"2014","43.1791","44.5173","1.3382","32.2665520848901"
"2015","45.4707","47.0956","1.6249","27.9836913040803"
"2016","39.957","41.7842","1.8272","21.8678852889668"
"2017","58.61","61.6828","3.0728","19.0738089039313"
"2000","104.884","125.428","20.544","5.10533489096573"
"2001","110.317","141.082","30.765","3.5857955468877"
"2002","130.877","166.117","35.24","3.713876276958"
"2003","152.844","184.931","32.087","4.76342443980428"
"2004","109.205","135.766","26.561","4.11147923647453"
"2005","98.2584","128.9","30.6416","3.20669938906584"
"2006","116.65","160.329","43.679","2.67061974862062"
"2007","106.96","142.898","35.938","2.97623685235684"
"2008","57.2428","58.8835","1.6407","34.8892545864571"
"2009","75.8215","77.6871","1.8656","40.6418846483705"
"2010","51.1788","52.1603","0.981499999999997","52.1434538970964"
"2011","52.0727","52.6895","0.616800000000005","84.4239623865104"
"2012","54.6287","55.3903","0.761600000000001","71.7288602941175"
"2013","42.9607","43.6075","0.646799999999999","66.4203772418059"
"2014","35.1276","35.6453","0.517699999999998","67.8531968321425"
"2015","60.7782","61.688","0.909800000000004","66.8039129479003"
"2016","60.0402","60.7874","0.747199999999999","80.3535867237688"
"2017","60.07","60.7355","0.665500000000002","90.2629601803153"
