"indicator","Vermilion Snapper SEDAR67 Biomass","Vermilion Snapper SEDAR67 Biomass"
"unit","Million pounds","Million pounds"
"extent","Area 1","Area 2"
"2000","17.3243228378","37.247495824"
"2001","18.615260125","36.749251704"
"2002","18.8795279244","37.138146672"
"2003","18.3472003792","37.487138018"
"2004","18.8171592246","39.251274942"
"2005","18.709838323","40.309933466"
"2006","21.6182391656","42.640878192"
"2007","25.433378168","44.447564282"
"2008","27.697302446","48.420289522"
"2009","33.12882474","57.33555234"
"2010","38.433581384","66.615238844"
"2011","45.682812868","78.263348614"
"2012","44.19050559","90.349075454"
"2013","46.217874142","100.130092546"
"2014","44.206819778","112.063700606"
"2015","46.258659612","124.100925806"
"2016","45.220283592","135.417019804"
"2017","43.431234462","146.474732338"
