"indicator","Yellowedge Grouper_SEDAR85_Biomass","Yellowedge Grouper_SEDAR85_Biomass"
"unit","Million pounds","Million pounds"
"extent","Area 1","Area 2"
"2000","7.8348006022","10.7643217044"
"2001","7.6667644658","10.8994649104"
"2002","7.7228499986","11.1645704654"
"2003","7.8890783466","11.3282414542"
"2004","7.817692751","11.4232164838"
"2005","7.8490424474","11.5672443084"
"2006","7.855722446","11.7041291642"
"2007","7.9074869236","11.8564022676"
"2008","7.700406967","12.027745334"
"2009","7.5117135412","12.140401416"
"2010","7.321653251","12.145692504"
"2011","7.3699785214","12.1839206148"
"2012","7.3386949636","12.09895456"
"2013","7.1357596926","12.0118500238"
"2014","6.9644166262","11.8231786442"
"2015","6.6506110154","11.6358079904"
"2016","6.4235572016","11.3804468558"
"2017","6.2545289862","11.1003057924"
"2018","6.064578927","10.8845616792"
"2019","5.7644640064","10.7706489638"
"2020","5.4447059216","10.5455352156"
"2021","5.2119641882","10.4286021708"
