"indicator","Yellowedge Grouper_SEDAR85_Commercial_Catch","Yellowedge Grouper_SEDAR85_Commercial_Catch"
"unit","Metric tons","Metric tons"
"extent","commercial_landings","commercial_totcatch"
"2000","498.17159","498.17159"
"2001","339.42053","339.42053"
"2002","337.82961","337.82961"
"2003","482.6552","482.6552"
"2004","394.30726","394.30726"
"2005","380.6796","380.6796"
"2006","318.26727","318.26727"
"2007","395.7138","395.7138"
"2008","369.93425","369.93425"
"2009","376.61862","376.61862"
"2010","202.52722","202.52722"
"2011","259.1814","259.1814"
"2012","304.9764","304.9764"
"2013","309.87839","309.87839"
"2014","361.73334","361.73334"
"2015","341.05457","341.05457"
"2016","325.63544","325.63544"
"2017","310.97161","310.97161"
"2018","325.78334","325.78334"
"2019","395.38298","395.38298"
"2020","318.98287","318.98287"
"2021","318.45494","318.45494"
