"indicator","Yellowedge Grouper_SEDAR85_Recreational_Catch","Yellowedge Grouper_SEDAR85_Recreational_Catch","Yellowedge Grouper_SEDAR85_Recreational_Catch","Yellowedge Grouper_SEDAR85_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","0","0","0","NaN"
"2001","0","0","0","NaN"
"2002","0","0","0","NaN"
"2003","0","0","0","NaN"
"2004","0","0","0","NaN"
"2005","0","0","0","NaN"
"2006","0","0","0","NaN"
"2007","0","0","0","NaN"
"2008","0","0","0","NaN"
"2009","0","0","0","NaN"
"2010","0","0","0","NaN"
"2011","0","0","0","NaN"
"2012","0","0","0","NaN"
"2013","0","0","0","NaN"
"2014","0","0","0","NaN"
"2015","0","0","0","NaN"
"2016","0","0","0","NaN"
"2017","0","0","0","NaN"
"2018","0","0","0","NaN"
"2019","0","0","0","NaN"
"2020","0","0","0","NaN"
"2021","0","0","0","NaN"
"2000","0","0","0","NaN"
"2001","0","0","0","NaN"
"2002","0","0","0","NaN"
"2003","0","0","0","NaN"
"2004","0","0","0","NaN"
"2005","0","0","0","NaN"
"2006","0","0","0","NaN"
"2007","0","0","0","NaN"
"2008","0","0","0","NaN"
"2009","0","0","0","NaN"
"2010","0","0","0","NaN"
"2011","0","0","0","NaN"
"2012","0","0","0","NaN"
"2013","0","0","0","NaN"
"2014","0","0","0","NaN"
"2015","0","0","0","NaN"
"2016","0","0","0","NaN"
"2017","0","0","0","NaN"
"2018","0","0","0","NaN"
"2019","0","0","0","NaN"
"2020","0","0","0","NaN"
"2021","0","0","0","NaN"
