"indicator","Yellowtail Snapper_SEDAR96_Commercial_Catch","Yellowtail Snapper_SEDAR96_Commercial_Catch","Yellowtail Snapper_SEDAR96_Commercial_Catch","Yellowtail Snapper_SEDAR96_Commercial_Catch"
"unit","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio"
"2000","1591.77752778","1596.10299222","4.32546443999991","368.001529051996"
"2001","1420.15227002","1424.05665204","3.90438201999973","363.732919254684"
"2002","1407.57491292","1411.5520474","3.9771344799999","353.91685144125"
"2003","1404.673633","1409.18428552","4.51065252000012","311.412512218955"
"2004","1477.44372996","1482.34900946","4.90527950000001","301.194606741573"
"2005","1313.81462894","1317.79617266","3.98154371999999","329.976190476191"
"2006","1229.48570932","1232.9998736","3.5141642799997","349.86574654959"
"2007","969.8454073","972.37190182","2.52649451999991","383.869982548006"
"2008","1353.99382844","1357.32721388","3.3333854399998","406.191798941823"
"2009","1931.26034772","1936.23837968","4.97803195999995","387.956598759968"
"2010","1655.3058577","1659.79446402","4.48860631999992","368.77946954814"
"2011","1854.16919556","1859.0899074","4.92071183999997","376.809139784949"
"2012","2073.22905724","2078.94343228","5.71437504000005","362.809413580244"
"2013","2032.29808232","2038.77966512","6.48158279999984","313.549659863953"
"2014","2010.1835391","2016.85692384","6.67338474000007","301.223984142712"
"2015","2154.02838024","2160.6819234","6.65354316000003","323.741550695824"
"2016","2259.845731","2266.459591","6.61385999999993","341.683333333337"
"2017","2781.2824534","2788.7781614","7.49570799999992","371.050000000004"
"2018","1953.54905592","1958.35512752","4.80607160000022","406.475229357779"
"2019","2169.28435064","2174.30867962","5.02432897999961","431.756033347993"
"2020","1395.70303422","1399.19735692","3.49432270000011","399.420189274435"
"2021","1621.38557438","1625.96897936","4.58340498000007","353.751322751317"
"2022","1778.53088798","1783.53537538","5.00448740000002","355.387224669602"
"2023","1453.5721046","1457.66828856","4.09618395999996","354.860064585579"
