"indicator","Yellowtail Snapper_SEDAR96_RecDev"
"unit","log recruitment deviations"
"extent","Value"
"2000","-0.20956900"
"2001","-0.10825000"
"2002"," 0.29221700"
"2003","-0.11809200"
"2004"," 0.14171400"
"2005","-0.04439040"
"2006","-0.12061900"
"2007","-0.19061800"
"2008","-0.00910819"
"2009","-0.07965830"
"2010","-0.06944500"
"2011"," 0.19046300"
"2012"," 0.47879600"
"2013"," 0.23287700"
"2014"," 0.32139600"
"2015"," 0.23192600"
"2016","-0.02107430"
"2017","-0.09883610"
"2018","-0.19693900"
"2019"," 0.37240200"
"2020"," 0.25497400"
"2021"," 0.29958400"
"2022"," 0.48273900"
"2023"," 0.08367370"
