"indicator","Yellowtail Snapper_SEDAR96_Recreational_Catch","Yellowtail Snapper_SEDAR96_Recreational_Catch","Yellowtail Snapper_SEDAR96_Recreational_Catch","Yellowtail Snapper_SEDAR96_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","109.3","113.708","4.408","24.7958257713249"
"2001","101.869","106.149","4.28","23.8011682242991"
"2002","121.012","126.28","5.268","22.9711465451784"
"2003","108.854","114.408","5.554","19.5992077781779"
"2004","118.422","123.766","5.34400000000001","22.1598053892215"
"2005","149.087","155.657","6.57000000000002","22.6920852359208"
"2006","98.974","103.056","4.08199999999999","24.2464478196963"
"2007","104.598","108.643","4.045","25.8585908529048"
"2008","103.362","107.291","3.929","26.3074573682871"
"2009","88.38","92.0744","3.6944","23.9226938068428"
"2010","102.174","106.44","4.26599999999999","23.9507735583685"
"2011","98.768","102.771","4.003","24.6734948788409"
"2012","110.815","115.704","4.889","22.6661894047863"
"2013","112.942","118.635","5.69300000000001","19.8387493412963"
"2014","163.99","171.562","7.572","21.6574220813523"
"2015","173.617","181.27","7.65300000000002","22.6861361557559"
"2016","184.576","192.362","7.786","23.7061392242486"
"2017","110.68","114.946","4.26599999999999","25.9446788560713"
"2018","113.282","117.447","4.16500000000001","27.1985594237695"
"2019","120.758","125.109","4.351","27.754079521949"
"2020","84.813","88.5406","3.7276","22.7527095181887"
"2021","214.744","224.288","9.54400000000001","22.5004191114836"
"2022","113.868","118.745","4.87700000000001","23.3479598113594"
"2023","102.332","106.824","4.492","22.7809439002671"
