"indicator","Zooplankton Biomass","Zooplankton Biomass"
"unit","Mean Calanoids (no./m3)","Mean Calanoids (no./m3)"
"extent","Spring","Fall"
"2003",NA,"198.5515487"
"2005","70.64610212",NA
"2006","37.26789586",NA
"2007","46.82030285","98.94782196"
"2008","48.98951192","105.9150579"
"2009","47.96111248","113.1633941"
"2010",NA,"113.9494876"
"2011","37.17408409","234.1913658"
"2012","50.01366566","141.1460545"
"2013","45.53140961","159.7142826"
"2014","44.11155048","177.9322463"
"2015","71.80627388",NA
"2016","63.88976782","204.1268102"
"2017","55.91344292","339.8053941"
"2018","61.38271834","51.05509471"
"2019","72.41325389","158.735319"
"2021","49.54216307",NA
"2022",NA,"175.2328964"
"2023","36.23446651","98.30864728"
