"indicator","ONG rigs","Artificial reefs","Total Artificial Structures"
"unit","Number of structures","Number of structures","Number of structures"
"extent","Gulf-wide","Gulf-wide","Gulf-wide"
"1942","1","0","1"
"1943","1","1","2"
"1944","1","1","2"
"1945","1","1","2"
"1946","1","1","2"
"1947","2","1","3"
"1948","5","1","6"
"1949","12","1","13"
"1950","17","1","18"
"1951","21","1","22"
"1952","26","1","27"
"1953","33","1","34"
"1954","53","1","54"
"1955","81","1","82"
"1956","117","1","118"
"1957","161","1","162"
"1958","223","1","224"
"1959","289","1","290"
"1960","379","3","382"
"1961","475","3","478"
"1962","586","3","589"
"1963","661","3","664"
"1964","766","7","773"
"1965","876","9","885"
"1966","979","9","988"
"1967","1090","9","1099"
"1968","1191","9","1200"
"1969","1299","9","1308"
"1970","1407","10","1417"
"1971","1504","10","1514"
"1972","1639","16","1655"
"1973","1726","19","1745"
"1974","1773","22","1795"
"1975","1846","28","1874"
"1976","1933","38","1971"
"1977","2019","45","2064"
"1978","2155","48","2203"
"1979","2283","50","2333"
"1980","2411","70","2481"
"1981","2536","87","2623"
"1982","2703","108","2811"
"1983","2826","125","2951"
"1984","2994","128","3122"
"1985","3150","181","3331"
"1986","3224","195","3419"
"1987","3312","221","3533"
"1988","3371","282","3653"
"1989","3468","317","3785"
"1990","3533","339","3872"
"1991","3571","372","3943"
"1992","3558","393","3951"
"1993","3520","441","3961"
"1994","3571","584","4155"
"1995","3577","642","4219"
"1996","3613","673","4286"
"1997","3589","735","4324"
"1998","3666","767","4433"
"1999","3646","829","4475"
"2000","3673","874","4547"
"2001","3736","912","4648"
"2002","3724","957","4681"
"2003","3686","1032","4718"
"2004","3623","1297","4920"
"2005","3624","1550","5174"
"2006","3638","1617","5255"
"2007","3585","1985","5570"
"2008","3527","2036","5563"
"2009","3347","2096","5443"
"2010","3174","2129","5303"
"2011","2927","2207","5134"
"2012","2693","2257","4950"
"2013","2504","2406","4910"
"2014","2349","2452","4801"
"2015","2230","2525","4755"
"2016","2045","2682","4727"
"2017","1945","2744","4689"
"2018","1816","2843","4659"
"2019","1735","2962","4697"
"2020","1700","3038","4738"
"2021","1634","3363","4997"
"2022","1546","3671","5217"
"2023","1393","3680","5073"
"2024","1355","3976","5331"
"2025","1281","4049","5330"
