"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Assessed finfish","Assessed finfish"
"1977","10.042815","6.967019"
"1978","8.622897","7.317146"
"1979","8.784045","8.652933"
"1980","8.42032659630806","9.68805835160808"
"1981","10.5809170939993","11.8613893307267"
"1982","11.1969289187174","13.4251185196715"
"1983","11.0572432977","14.9396044119276"
"1984","11.5318662186214","14.7183344836611"
"1985","8.756704","12.8840390967433"
"1986","22.323270423135","10.6916670630848"
"1987","21.7959192506769","11.2889083064124"
"1988","19.5649986638151","26.5801299238955"
"1989","22.5712557675975","27.0232121953445"
"1990","19.2821102587152","25.526208984869"
"1991","18.5778749810042","23.5041153495713"
"1992","20.5801576228295","28.3563798415319"
"1993","24.2221422467496","35.6561787817624"
"1994","21.1560888112626","33.3637653443002"
"1995","17.8721065922747","28.9306343199917"
"1996","16.9940952369229","30.0751709328531"
"1997","18.00584997","31.83144365"
"1998","16.91339311","32.59202209"
"1999","20.85937818","38.42068951"
"2000","20.87828972","38.71417151"
"2001","21.48792866","41.672593238"
"2002","21.95648662","41.758255148"
"2003","21.88572416","42.6212307145"
"2004","22.91640502","45.206955208"
"2005","21.75751074","45.270501944"
"2006","19.98842253","44.612695691"
"2007","16.60800848","40.16092684"
"2008","18.11637887","43.23139538"
"2009","19.02879172","40.5184302208"
"2010","14.86223568","35.0637362836"
"2011","18.68190959","46.361414976"
"2012","19.53975012","51.2612507298"
"2013","18.98388791","56.886403654"
"2014","21.05782104","66.0167795929"
"2015","20.22771875","65.893022791"
"2016","20.75058685","67.60789778"
"2017","18.87843429","63.291172719"
"2018","17.7978231","60.750520593"
"2019","17.59183026","64.2972694672"
"2020","15.42320023","59.424537452"
"2021","15.98857154","66.2595771266"
"2022","14.82074398","70.360665413"
"2023","14.92054814","74.8018149714"
"2024","14.67967846","73.9550453099"
"2025","10.75150857","56.5621480678"
