"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Managed finfish","Managed finfish"
"1977","16.85084","8.69282"
"1978","15.3891495262655","9.45463876313276"
"1979","14.947311","11.263251"
"1980","18.9849175963081","15.8013113516081"
"1981","19.3948750939993","17.2667748717996"
"1982","20.0985689187174","19.4957846333668"
"1983","19.4726382977","20.5722628751935"
"1984","20.6223449513271","21.3170212004077"
"1985","22.4906693225499","25.4060642357268"
"1986","50.037714894653","27.2735541967742"
"1987","43.8289869363254","37.9108066576651"
"1988","47.2343188115129","70.7296334737766"
"1989","44.5243537979707","63.7710497871907"
"1990","37.0356692817371","52.7268799914824"
"1991","35.743680700704","50.1941860676431"
"1992","40.9740248812196","58.5669343292309"
"1993","39.927399342385","60.0371552842555"
"1994","34.7514969408049","51.9607679020522"
"1995","28.469563216653","46.210734914661"
"1996","26.891015173193","49.5720871355621"
"1997","27.92295292","51.07358384"
"1998","25.30122534","47.14714606"
"1999","32.55957073","55.7553248"
"2000","31.36469507","59.25091839"
"2001","30.64276326","57.451888819"
"2002","32.34827004","60.9283066355"
"2003","33.00073892","60.5610222945"
"2004","32.26021731","63.664431343"
"2005","29.74551181","60.3700693867"
"2006","28.10362672","58.254548521"
"2007","25.18783565","56.475485071"
"2008","23.73422673","54.504819733"
"2009","26.12466847","54.3731809808"
"2010","19.24493615","41.0536039158"
"2011","23.92840418","57.3192578894"
"2012","27.81950632","70.0642909748"
"2013","26.21490137","72.085608971"
"2014","27.12661029","78.9644464165"
"2015","25.70549543","75.981425792"
"2016","26.04939616","78.7093396205"
"2017","24.2796896","74.446701517"
"2018","22.75476997","69.654078066"
"2019","21.24199774","72.0096108973"
"2020","19.40663484","66.3283920662"
"2021","19.88990338","73.8703697612"
"2022","18.57806781","79.6226390791"
"2023","18.43570069","84.0472244659"
"2024","17.34045048","82.0722766209"
"2025","12.87235873","63.0652136356"
