"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Unassessed finfish","Unassessed finfish"
"1977","1.950824","0.262274"
"1978","2.23407","0.284111"
"1979","1.773189","0.304479"
"1980","3.047619","0.541799"
"1981","2.903782","0.822479541072944"
"1982","2.827959","0.855840113695339"
"1983","2.162441","0.666080463265952"
"1984","1.93298","0.645523458197568"
"1985","1.757956","0.695179800906959"
"1986","3.80204710929621","0.865461819091263"
"1987","4.09540321238141","0.932385495897703"
"1988","4.20685737965501","3.96505619828885"
"1989","4.5566757578059","3.9272698905879"
"1990","4.81231043952729","4.0831634655569"
"1991","3.99611406892725","3.35180836573804"
"1992","3.95634374092417","3.48444067981479"
"1993","3.36694246333043","2.92912977843707"
"1994","3.25418026387699","2.85513225098276"
"1995","1.83944046213995","2.38456133944536"
"1996","1.48870218915029","1.96277385962045"
"1997","1.73217427","2.13768081"
"1998","1.83811442","2.15483928"
"1999","2.20597282","2.94868471"
"2000","2.31725918","3.42351611"
"2001","2.29047504","3.378684741"
"2002","2.16150788","3.09506937"
"2003","2.35871185","3.485662825"
"2004","2.26378577","3.39406981"
"2005","1.89430443","3.1200650675"
"2006","1.66425497","2.59797891"
"2007","1.5990571","2.61402545"
"2008","1.57702096","2.486863293"
"2009","1.86778803","2.73398179"
"2010","1.13449046","1.7667703322"
"2011","1.28827467","2.520021796"
"2012","1.66287847","3.225064814"
"2013","1.58012576","3.170852665"
"2014","1.9640068","3.9539978956"
"2015","1.76720864","3.668013039"
"2016","1.5985777","3.286267268"
"2017","1.59760566","3.397724402"
"2018","1.29710792","2.964358845"
"2019","1.50949441","3.4353919259"
"2020","1.2457293","2.8465311342"
"2021","1.40635982","3.4732111406"
"2022","1.146009","3.2961239117"
"2023","1.00427876","3.2820552222"
"2024","0.76568745","2.7580733374"
"2025","0.50485681","1.9380020568"
