"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Unmanaged finfish","Unmanaged finfish"
"1977","82.2291569792028","21.055689542461"
"1978","81.5717417242874","23.1028307417885"
"1979","82.278126993353","24.8387887127591"
"1980","86.6833501520062","28.9458565373584"
"1981","95.0532040490861","36.3831594039171"
"1982","86.7558855658512","36.4620211302665"
"1983","83.696603","36.3237233771957"
"1984","76.3630074685325","33.7637913950752"
"1985","75.1555761930735","37.8717794246243"
"1986","78.2895642004512","16.0824376017198"
"1987","86.2055140701298","17.2426156103465"
"1988","88.724431634408","36.5866472458876"
"1989","101.126544028525","44.1574242913439"
"1990","88.9626211519084","43.1955872654354"
"1991","80.9524091025858","36.0808583239105"
"1992","86.2077305586851","37.5829050033678"
"1993","105.400253058428","42.3385107350579"
"1994","94.1942840561881","47.3204889360754"
"1995","73.9879453132523","43.8770905401096"
"1996","67.2671533360031","38.3064494164913"
"1997","70.30163659","36.2152303"
"1998","64.64079419","31.25293079"
"1999","72.89748086","37.34231275"
"2000","62.10260858","34.5566740761"
"2001","68.04500552","41.754953121"
"2002","68.68045383","39.2737687088"
"2003","60.25972275","34.610331968"
"2004","63.53519708","34.9650539243"
"2005","58.84921905","36.870271444"
"2006","47.60398738","30.7669912415"
"2007","59.94225226","35.072694518"
"2008","61.08466902","34.332818807"
"2009","62.49205542","39.3083104029"
"2010","52.2983978","34.0688556544"
"2011","63.50267752","40.279836622"
"2012","59.4212834","37.862470606"
"2013","68.12498348","50.9493895072"
"2014","68.42823425","47.374820901"
"2015","53.29165559","34.1817392484"
"2016","62.62496949","44.10674113"
"2017","53.53977802","39.92525597"
"2018","52.43563654","39.108625068"
"2019","51.419312","40.320270776"
"2020","44.20326915","31.876211795"
"2021","53.60158495","37.536368311"
"2022","50.58829345","39.6932628293"
"2023","47.85384294","91.0956298725"
"2024","37.99751508","43.5639051694"
"2025","34.09262583","65.957968023"
