"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","AMBERJACK, GREATER","AMBERJACK, GREATER"
"1986","0.91160992","0.02653798"
"1987","1.66647208","0.06413504"
"1988","1.90474368","0.83865314"
"1989","2.14503432","1.11407176"
"1990","1.66815064","1.07375395"
"1991","1.18578417","0.70831715"
"1992","0.841583238186906","0.562161599556086"
"1993","1.0352050378841","0.85229890256046"
"1994","0.850590427346454","0.81186532560929"
"1995","0.718365870409423","0.751895826633518"
"1996","0.828465535246417","0.903551964955615"
"1997","0.7414817","0.78895545"
"1998","0.50173319","0.55986733"
"1999","0.4066326","0.45528483"
"2000","0.78424054","0.86254047"
"2001","0.60631803","0.615688"
"2002","0.70198007","0.71003978"
"2003","0.85448709","0.781864"
"2004","0.86133253","0.7730318"
"2005","0.66292065","0.6388885"
"2006","0.55762961","0.614996482"
"2007","0.58740159","0.64226102"
"2008","0.43363257","0.50896046"
"2009","0.59581612","0.6356839"
"2010","0.52088225","0.54609969"
"2011","0.49777571","0.58648229"
"2012","0.30175799","0.36263963"
"2013","0.45856711","0.64132097"
"2014","0.48307235","0.69760238"
"2015","0.45692887","0.67210668"
"2016","0.43710209","0.72585228"
"2017","0.45373001","0.7840062"
"2018","0.32584079","0.58714967"
"2019","0.36123875","0.65946295"
"2020","0.31148443","0.606098526"
"2021","0.32808828","0.676666659"
"2022","0.27861364","0.664595064"
"2023","0.13537152","0.3394874296"
"2024","0.0575059","0.166118791"
"2025","0.07853856","0.18423267"
