"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","COBIA","COBIA"
"1977","0.102309","0.024376"
"1978","0.104279","0.030673"
"1979","0.093814","0.028121"
"1980","0.099583","0.036173"
"1981","0.118118","0.053139"
"1982","0.110367","0.056359"
"1983","0.132451","0.075213"
"1984","0.0926872744203127","0.0606748570909919"
"1985","0.096518","0.0756234666884656"
"1986","0.135842195464689","0.0539616420787883"
"1987","0.149134832452098","0.061327933771339"
"1988","0.143301822435838","0.149151299071395"
"1989","0.19039673649826","0.213630930240761"
"1990","0.1524329836","0.188172230407023"
"1991","0.159002207457636","0.205528692993797"
"1992","0.212793336298371","0.293508706978671"
"1993","0.235172204357352","0.346196060358231"
"1994","0.229979817206793","0.351459531249769"
"1995","0.207099111060234","0.329896859609988"
"1996","0.20681776845068","0.35011014430499"
"1997","0.17723672","0.30095685"
"1998","0.17706236","0.31376712"
"1999","0.16747276","0.30775021"
"2000","0.12979008","0.229573863"
"2001","0.09183918","0.17539914"
"2002","0.10499082","0.203507294"
"2003","0.11085822","0.231791175"
"2004","0.0998609","0.20964728"
"2005","0.08747628","0.1918728"
"2006","0.08097583","0.16423564"
"2007","0.07281459","0.18419742"
"2008","0.06825413","0.171242615"
"2009","0.0621502","0.15891798"
"2010","0.08163762","0.26038044"
"2011","0.06811808","0.2192415"
"2012","0.05335755","0.143421803"
"2013","0.08217418","0.2817072"
"2014","0.07839694","0.254760342"
"2015","0.07016069","0.229042253"
"2016","0.07525535","0.28056843"
"2017","0.07346127","0.27387341"
"2018","0.04096822","0.14107784"
"2019","0.04302275","0.164266865"
"2020","0.03493753","0.12428449"
"2021","0.03118481","0.11612293"
"2022","0.02792791","0.1096993776"
"2023","0.0223616","0.087051857"
"2024","0.01655087","0.06593401"
"2025","0.01568283","0.05535945"
