"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","GROUPER, GAG","GROUPER, GAG"
"1986","0.873394190506329","0.275246657278481"
"1987","0.785260370068695","0.436331856673209"
"1988","0.649613432673522","1.2061086540874"
"1989","0.852915976851665","1.4692405125227"
"1990","0.994822446595623","1.84538883308335"
"1991","0.991389736610604","1.81724510596385"
"1992","1.47030917328579","2.90330233306673"
"1993","1.75106330698069","3.5652447483177"
"1994","1.51850885645723","3.30751961579107"
"1995","1.58598962563638","3.36527678447029"
"1996","1.50207614464896","3.43741200672445"
"1997","1.6451337","3.79719319"
"1998","2.65004624","6.15826893"
"1999","2.05265888","4.85627965"
"2000","2.25724915","5.563675328"
"2001","3.27688234","8.03650967"
"2002","3.14018213","7.39415731"
"2003","2.69815076","6.87219901"
"2004","3.06989741","7.65060355"
"2005","2.71826492","7.156541105"
"2006","1.43893166","4.14975482"
"2007","1.36528138","4.41078867"
"2008","1.47960157","4.91012575"
"2009","0.84029487","2.79822397"
"2010","0.58208011","2.10698711"
"2011","0.37152219","1.44456861"
"2012","0.62054022","2.468724558"
"2013","0.69290147","2.87428682"
"2014","0.68568982","2.893668724"
"2015","0.63601472","2.772804602"
"2016","1.07698797","4.6979751"
"2017","0.57696488","2.572316935"
"2018","0.57956609","2.77984852"
"2019","0.62652509","3.2241848798"
"2020","0.50924887","2.827145854"
"2021","0.60154041","3.521085772"
"2022","0.73580395","4.837136368"
"2023","0.25033714","1.74902496"
"2024","0.15097322","1.086041792"
"2025","0.10428104","0.77430402"
