"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","GROUPER, RED","GROUPER, RED"
"1986","7.41710156241062","1.97399442231292"
"1987","7.81617669979405","2.08772447360603"
"1988","5.4374520102571","6.94180295282977"
"1989","8.78883239309399","10.7175920278616"
"1990","5.61860540766151","8.10729578936856"
"1991","5.9627205730349","8.16891090839661"
"1992","5.24090310566603","7.9870695882265"
"1993","7.43768441837756","11.6966476800145"
"1994","5.74072611841157","9.83052631793018"
"1995","5.4771476149258","8.88735862244415"
"1996","5.10280329316881","9.34980994262289"
"1997","5.5049638","10.02048292"
"1998","4.3690388","8.13619277"
"1999","6.83973939","12.8169605"
"2000","6.70723403","12.90142352"
"2001","6.74708507","12.96645985"
"2002","6.79615461","12.501342632"
"2003","5.68324263","11.3802915796"
"2004","6.64970123","12.998137958"
"2005","6.34503825","13.28811541"
"2006","5.87940733","13.92784347"
"2007","4.22735539","10.70406796"
"2008","5.55888234","13.42515458"
"2009","4.35569171","10.41480379"
"2010","3.47013722","8.94754441"
"2011","5.59372737","15.0386521"
"2012","6.12973168","16.706110975"
"2013","5.40346894","16.356719138"
"2014","6.50012355","21.042429364"
"2015","5.55785882","18.785597423"
"2016","5.21009338","17.803367574"
"2017","3.86070898","14.08250073"
"2018","2.74907916","11.14619148"
"2019","2.36478928","10.63006028"
"2020","2.48473129","12.023000244"
"2021","3.09444855","15.53809861"
"2022","2.54278242","14.599614711"
"2023","2.61125125","15.7008628422"
"2024","2.68388446","16.168838316"
"2025","1.39923311","8.673215118"
