"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","GROUPER, YELLOWEDGE","GROUPER, YELLOWEDGE"
"1985","0.178374","0.242457"
"1986","1.1133139643235","0.858679720193286"
"1987","1.0939130583144","0.843302964149288"
"1988","1.5795782010831","2.53868411840336"
"1989","0.5788741442","0.5862604126"
"1990","0.906238984668663","1.02555894855368"
"1991","0.840936726455519","1.13364650907313"
"1992","1.1249829237328","1.87530617216662"
"1993","0.810356503790013","1.35098804117798"
"1994","1.19969344935524","2.28730282615086"
"1995","0.916668189423619","1.81976630836341"
"1996","0.579816413221706","1.30232561553028"
"1997","0.79331468","1.75532763"
"1998","0.68759108","1.58761812"
"1999","1.05911617","2.45097227"
"2000","1.24794533","2.99876997"
"2001","0.8501311","2.17652195"
"2002","0.86869059","2.2127485"
"2003","1.26337002","3.16045609"
"2004","1.02826329","2.54222244"
"2005","0.91115515","2.35402507"
"2006","0.81526495","2.24446226"
"2007","1.00205391","3.11964102"
"2008","0.9330361","2.96435832"
"2009","0.95816149","2.83323957"
"2010","0.52473714","1.7076744"
"2011","0.64740693","2.18474082"
"2012","0.79105384","2.94058137"
"2013","0.7830352","3.03700083"
"2014","0.89779665","3.57755521"
"2015","0.84136451","3.42247969"
"2016","0.82977738","3.35679745"
"2017","0.78741284","3.21696879"
"2018","0.75992423","3.30408598"
"2019","0.98416674","4.75979055"
"2020","0.70970142","3.44713497"
"2021","0.72135706","3.8714958"
"2022","0.48557307","2.99543563"
"2023","0.54427432","3.52395975"
"2024","0.38822907","2.5179568"
"2025","0.2797884","1.87188998"
