"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","HOGFISH","HOGFISH"
"1977","0.032852","0.009717"
"1978","0.037472","0.01969"
"1979","0.048094","0.032197"
"1980","0.04665","0.037052"
"1981","0.017053","0.0142184985650794"
"1982","0.015862","0.0131774842815519"
"1983","0.018959","0.0108714414989758"
"1984","0.0125620709975537","0.0112754551184349"
"1985","0.02058","0.0183575133148909"
"1986","0.0246030374410514","0.00382247963535627"
"1987","0.030584496","0.0093772938"
"1988","0.0299777993432049","0.0354900201953125"
"1989","0.0577843024227942","0.0618337317354241"
"1990","0.0656408701530565","0.0792525824637849"
"1991","0.0510647304402549","0.0669427693403939"
"1992","0.0637996959262111","0.0857474860407919"
"1993","0.0876372957870783","0.122714205880158"
"1994","0.0558232736278367","0.0856400903188926"
"1995","0.0276131605782371","0.048165249401133"
"1996","0.0248383597826839","0.0438843258957915"
"1997","0.02383904","0.0447368"
"1998","0.01618858","0.02835481"
"1999","0.02285069","0.04040194"
"2000","0.02125612","0.03878363"
"2001","0.0247314","0.04873697"
"2002","0.02923879","0.05966808"
"2003","0.0279558","0.06003492"
"2004","0.02528699","0.0583275"
"2005","0.0201941","0.04836186"
"2006","0.01574787","0.04120593"
"2007","0.01795129","0.05084165"
"2008","0.02409031","0.07730363"
"2009","0.03206654","0.10099634"
"2010","0.03477929","0.11987106"
"2011","0.04522063","0.17118209"
"2012","0.04266933","0.16688763"
"2013","0.02381841","0.0969731"
"2014","0.0371001","0.158068648"
"2015","0.02839495","0.127260122"
"2016","0.03074628","0.13918019"
"2017","0.01783839","0.08052229"
"2018","0.01100416","0.050817735"
"2019","0.01059527","0.05283596"
"2020","0.00888001","0.045417372"
"2021","0.01113707","0.05867748"
"2022","0.00903639","0.054450112"
"2023","0.00895005","0.0622799828"
"2024","0.00746832","0.0536218"
"2025","0.0085736","0.07539049"
