"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Jacks","Jacks"
"1977","1.432974","0.116642"
"1978","1.807308","0.161573"
"1979","1.364908","0.139576"
"1980","2.630777","0.362829"
"1981","1.946952","0.273117"
"1982","1.99948","0.342614"
"1983","1.559073","0.261675"
"1984","1.36953","0.195142512623855"
"1985","1.152545","0.189339782360684"
"1986","1.08897699657227","0.00678411858545929"
"1987","1.58167625","0.00257274"
"1988","1.4627384341134","0.322463084000494"
"1989","2.01509010361892","0.353246737860809"
"1990","2.40982011317565","0.572830262253184"
"1991","1.97290260749211","0.48362872210579"
"1992","1.97957543039563","0.530221692257696"
"1993","1.77516465187089","0.58551715466668"
"1994","1.78829413134237","0.630244371204136"
"1995","0.498423550511805","0.273281995716494"
"1996","0.587234111407039","0.372359076592988"
"1997","0.53624062","0.35654027"
"1998","0.72202209","0.40329375"
"1999","0.66953541","0.38873674"
"2000","0.57028758","0.36192438"
"2001","0.61560894","0.402812186"
"2002","0.55416678","0.392951098"
"2003","0.65544991","0.44664015"
"2004","0.48193943","0.33740662"
"2005","0.33887132","0.251664011"
"2006","0.4686228","0.35566645"
"2007","0.42037115","0.31948836"
"2008","0.4209661","0.34802217"
"2009","0.49154497","0.39952542"
"2010","0.3924358","0.30631417"
"2011","0.16464954","0.154144794"
"2012","0.25663404","0.233935706"
"2013","0.39820128","0.35978795"
"2014","0.54883878","0.446104983"
"2015","0.52423959","0.436494235"
"2016","0.55717947","0.482801202"
"2017","0.53622536","0.46267058"
"2018","0.37581878","0.342659917"
"2019","0.52173346","0.4856573568"
"2020","0.43346421","0.39626596"
"2021","0.45475694","0.450191685"
"2022","0.33961837","0.38105181"
"2023","0.22849126","0.27942064"
"2024","0.11002375","0.1463284135"
"2025","0.08548835","0.126992036"
