"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","MACKEREL, KING","MACKEREL, KING"
"1986","1.68740416","0.111427"
"1987","0.51661584","0.05515691"
"1988","0.55201744","0.54391174"
"1989","0.2286648","0.23015736"
"1990","0.8570588","0.90501594"
"1991","0.39310232","0.40150811"
"1992","1.0628852","1.18328978"
"1993","2.09301384","2.32162869"
"1994","0.97812704","1.2582035"
"1995","1.07429516","1.37132016"
"1996","0.98218828","1.13397921"
"1997","0.76788412","0.9598227"
"1998","0.74634964","0.81392345"
"1999","1.23371865","1.3432908"
"2000","1.56622851","1.77346531"
"2001","1.44711269","1.78255909"
"2002","1.44196955","1.78679623"
"2003","1.66038742","1.96605611"
"2004","2.101169","2.33968286"
"2005","1.9582497","2.39199528"
"2006","2.12352346","2.523060872"
"2007","1.95310758","2.86231238"
"2008","2.15605962","3.10267645"
"2009","2.8518871","3.46411102"
"2010","2.26261792","3.14892286"
"2011","2.54765518","3.79720629"
"2012","2.5311944","4.01488986"
"2013","2.35893747","4.44654315"
"2014","3.08132179","5.471994677"
"2015","2.37659628","4.0939429"
"2016","2.68675971","5.07182298"
"2017","2.78253986","5.18520871"
"2018","2.91712497","5.5786697"
"2019","2.63522628","5.24880915"
"2020","2.17896568","4.398387698"
"2021","2.13163981","4.80259509"
"2022","1.61856434","4.28102721"
"2023","1.60653266","4.1756236"
"2024","1.39109378","4.10689919"
"2025","0.71717291","2.22994332"
