"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","MACKEREL, SPANISH","MACKEREL, SPANISH"
"1977","2.636377","0.498866"
"1978","1.704939","0.355947"
"1979","2.121969","0.5375"
"1980","1.951963","0.521724"
"1981","3.709067","1.172802"
"1982","3.455591","1.100457"
"1983","2.265989","0.71123"
"1984","3.505715","1.03603098212596"
"1985","2.056695","0.673662002278557"
"1986","3.09683335216342","0.185149050776931"
"1987","2.84499066157473","0.203418410678675"
"1988","2.314938","1.03141243"
"1989","3.118539","1.16002787"
"1990","2.583569","0.98519121"
"1991","3.442924","1.37930798"
"1992","3.43156445078055","1.14709597259969"
"1993","2.58149324672771","1.0534967476966"
"1994","2.7118071222272","1.13917459000224"
"1995","1.5054509115531","0.627360787727961"
"1996","0.461760674854657","0.238758453736126"
"1997","0.540216","0.28178117"
"1998","0.460591","0.27766235"
"1999","0.87235525","0.43946069"
"2000","0.91095491","0.46131263"
"2001","1.18291855","0.63211648"
"2002","0.96027812","0.50489206"
"2003","1.47330181","0.73310583"
"2004","1.13700184","0.687397085"
"2005","1.66855207","0.96009506"
"2006","1.46071873","0.819446371"
"2007","0.97970902","0.69660674"
"2008","1.29951228","0.88264385"
"2009","1.81572732","0.94829813"
"2010","1.25165442","0.83109068"
"2011","1.31990545","0.93323224"
"2012","1.65224698","1.38268666"
"2013","1.33321948","1.33264239"
"2014","0.84106898","0.8934377"
"2015","1.07071564","1.16095695"
"2016","1.23269956","1.2182533"
"2017","0.62917816","0.67164316"
"2018","1.15089026","0.84941585"
"2019","0.89549039","0.77204299"
"2020","0.52323985","0.53301738"
"2021","0.42186501","0.48474509"
"2022","0.3593845","0.4742692"
"2023","0.26586331","0.36765985"
"2024","0.40518063","0.54638002"
"2025","0.26663443","0.41318393"
