"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Other Reef Fish","Other Reef Fish"
"1977","0.097145","0.034805"
"1978","0.081886","0.03097"
"1979","0.076671","0.038238"
"1980","0.0664","0.041417"
"1981","0.451321","0.267789"
"1982","0.399229","0.268296"
"1983","0.288614","0.225569"
"1984","0.320633","0.269192054191521"
"1985","0.303868","0.265877760063489"
"1986","0.401320161455852","0.112084869694702"
"1987","0.658498032988163","0.354092007954661"
"1988","1.069668344","1.1421296315"
"1989","0.528819070273879","0.609683293281606"
"1990","0.436241808094113","0.451850211996547"
"1991","0.383518420483962","0.383569409556234"
"1992","0.410352138064516","0.411045"
"1993","0.412198975320028","0.414390777127495"
"1994","0.536458335581051","0.635293266107215"
"1995","0.549757406428334","0.703460912623934"
"1996","0.253009527597627","0.341619102581195"
"1997","0.497057","0.51274552"
"1998","0.40901032","0.45081404"
"1999","0.46897436","0.58161659"
"2000","0.5844881","0.81164893"
"2001","0.57229675","0.83176619"
"2002","0.61426322","0.85001243"
"2003","0.53556412","0.73032559"
"2004","0.68016704","0.88711584"
"2005","0.70563892","1.08476667"
"2006","0.45095794","0.61732673"
"2007","0.47008881","0.67861267"
"2008","0.52421244","0.73479581"
"2009","0.61726865","0.84566203"
"2010","0.27641676","0.53341681"
"2011","0.4191894","0.86019917"
"2012","0.46443299","0.976776884"
"2013","0.49128386","1.15980634"
"2014","0.58206586","1.410852712"
"2015","0.59334161","1.57434605"
"2016","0.47056808","1.27056429"
"2017","0.54674143","1.48474246"
"2018","0.40200504","1.01207083"
"2019","0.47577156","1.24393175"
"2020","0.37888337","0.9901249148"
"2021","0.51645907","1.50220056"
"2022","0.41672129","1.39653701"
"2023","0.33806305","1.2085488968"
"2024","0.28465787","1.0552604792"
"2025","0.19069559","0.76982298"
